,Player,Salary 2022/23,MP,FG,FGA,2P,2PA,FT,FTA,AST,TOV,PTS,WS,VORP
224,Keon Johnson,2681040,13.6,2.3,6.1,1.3,3.1,0.3,0.8,1.2,1.5,5.9,-0.4,-0.3
225,Stanley Johnson,4022164,13.3,2.3,3.8,1.5,2.3,0.6,1.0,1.9,0.9,5.9,0.3,0.1
226,Nikola Jokic,33047803,33.6,9.6,15.7,8.8,13.3,5.5,6.7,9.5,3.4,25.6,7.3,4.1
227,Damian Jones,2298385,9.3,1.1,2.0,1.1,1.8,0.8,1.1,0.2,0.4,3.1,0.4,0.0
228,Derrick Jones Jr,3200000,14.1,2.0,3.8,1.6,2.6,1.2,1.4,0.6,0.5,5.6,1.1,0.2
229,Herbert Jones,1785000,28.5,3.4,8.0,2.6,5.1,2.4,3.1,2.2,1.3,10.1,1.5,0.2
230,Kai Jones,2909040,9.4,1.2,2.3,1.0,1.9,0.3,0.5,0.2,0.4,2.8,0.3,-0.2
231,Tre Jones,1782621,29.8,4.9,11.1,4.1,8.5,2.3,2.6,6.5,1.9,12.8,1.5,0.1
232,Tyus Jones,15000000,23.3,3.8,8.6,2.2,4.6,1.0,1.4,4.6,0.9,10.1,2.6,0.8
233,DeAndre Jordan,10733758,14.3,2.0,2.7,2.0,2.7,0.6,1.3,0.8,1.1,4.7,0.9,0.0
234,Cory Joseph,5155500,15.5,1.7,4.2,1.1,2.5,0.6,0.8,3.1,0.7,4.5,0.5,-0.2
235,Nikola Jovic,2239920,13.6,1.9,4.6,1.3,2.3,1.2,1.3,0.7,0.7,5.5,0.2,-0.1
236,Mfiondu Kabengele,508891,8.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
237,Frank Kaminsky,2463490,7.3,0.9,1.7,0.5,0.7,0.4,0.4,0.9,0.3,2.8,0.4,0.1
238,Trevor Keels,508891,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,Luke Kennard,13745455,22.0,3.1,6.2,1.1,2.1,0.6,0.7,1.2,0.9,8.8,1.5,0.4
240,Walker Kessler,2696400,18.8,2.9,4.0,2.9,4.0,1.1,1.9,0.6,0.7,6.8,2.7,0.7
241,Braxton Key,201802,3.0,0.3,0.3,0.3,0.3,0.7,0.7,0.0,0.0,1.3,0.0,0.0
242,Corey Kispert,3552840,28.0,3.4,6.9,1.6,2.7,1.0,1.3,1.4,0.7,9.5,1.6,0.0
243,Maxi Kleber,9000000,25.6,2.3,4.7,1.2,1.8,0.5,0.6,1.0,0.6,6.2,1.0,0.1
244,Nathan Knight,1836090,5.8,0.9,1.4,0.8,1.1,0.8,1.2,0.3,0.5,2.8,0.3,0.0
245,Kevin Knox,3000000,13.9,1.9,4.3,0.9,1.5,0.7,0.8,0.4,0.7,5.6,0.5,0.0
246,Christian Koloko,1500000,16.1,1.4,2.9,1.3,2.7,1.0,1.5,0.5,0.5,3.7,1.1,-0.3
247,John Konchar,2300000,25.5,2.8,6.1,1.5,2.6,0.5,0.6,1.6,0.6,7.4,2.5,0.8
248,Furkan Korkmaz,5000000,11.5,1.4,3.5,0.8,1.8,0.9,1.4,0.9,0.7,4.2,0.1,-0.1
249,Luke Kornet,2133278,12.1,1.6,2.4,1.6,2.2,0.5,0.6,0.7,0.4,3.8,1.6,0.3
250,Vit Krejci,1563518,6.6,0.6,1.6,0.3,0.6,0.1,0.1,0.6,0.2,1.6,0.1,-0.1
251,Jonathan Kuminga,5739840,18.6,2.8,6.0,2.4,4.2,1.4,2.0,1.7,1.5,7.5,0.5,-0.3
252,Kyle Kuzma,13000000,35.2,8.2,17.9,5.8,10.6,2.4,3.4,3.8,2.8,21.3,1.1,0.4
253,Anthony Lamb,508891,19.3,2.5,4.8,1.2,1.6,0.5,0.6,1.6,1.0,6.6,1.2,0.2
254,Jock Landale,1563518,14.2,2.3,4.6,2.1,3.2,1.5,1.9,0.8,0.8,6.5,1.4,0.1
255,Romeo Langford,5634257,19.0,2.7,5.5,2.3,4.2,0.8,1.2,1.0,0.8,6.6,0.3,-0.1
256,Jake LaRavia,3047640,14.4,1.3,3.2,0.5,1.0,0.3,0.3,0.8,0.7,3.7,0.5,0.0
257,Zach LaVine,37096500,35.1,8.0,17.6,5.3,10.3,3.6,4.3,4.3,2.4,22.4,2.0,0.6
258,AJ Lawson,371432,1.5,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
259,Damion Lee,2133278,21.7,2.8,6.0,1.0,2.2,0.9,1.0,1.2,1.0,8.4,1.7,0.3
260,Saben Lee,1859644,5.0,1.5,2.0,1.5,1.5,0.0,0.0,1.0,1.5,3.0,0.0,0.0
261,Alex Len,3918600,4.0,0.5,1.0,0.5,0.9,0.3,0.4,0.3,0.3,1.3,0.0,-0.1
262,Kawhi Leonard,42492492,28.9,6.6,13.8,5.5,9.9,3.1,4.0,3.9,1.6,17.3,1.3,0.6
263,Caris LeVert,18796296,31.1,4.4,11.0,2.8,6.6,2.0,2.7,3.7,1.7,12.4,1.6,0.1
264,Kira Lewis Jr,4004280,11.5,2.0,5.5,1.5,4.0,1.0,1.0,0.5,0.0,5.5,0.0,0.0
265,Damian Lillard,42492492,35.4,8.3,19.0,4.2,8.0,6.7,7.5,7.2,3.4,27.4,3.4,1.6
266,Nassir Little,4171548,15.3,2.0,4.3,1.3,2.3,0.7,1.0,0.9,0.7,5.5,0.4,0.1
267,Isaiah Livers,1563518,19.5,1.9,4.7,0.6,1.0,0.7,0.9,0.6,0.6,5.8,0.3,0.0
268,Kenneth Lofton Jr,508891,4.0,1.2,2.5,1.2,2.2,0.2,0.5,0.7,0.2,2.5,0.0,0.0
269,Kevon Looney,8000000,23.3,2.8,4.5,2.8,4.5,1.1,1.7,2.9,0.4,6.7,4.0,1.0
270,Brook Lopez,13906976,30.6,5.5,10.9,3.6,6.0,1.6,2.1,1.2,1.4,14.6,3.7,1.3
271,Robin Lopez,2905851,8.9,1.3,2.1,1.3,2.0,0.4,0.6,0.4,0.7,3.1,0.4,-0.1
272,Kevin Love,28942830,21.0,3.0,7.3,1.0,2.1,1.5,1.7,2.0,1.3,9.5,1.9,0.8
273,Kyle Lowry,28333334,35.1,4.2,10.4,1.9,3.9,2.7,3.1,5.7,2.1,13.4,2.6,0.7
274,Trey Lyles,2625000,14.5,2.1,4.9,1.1,1.8,0.7,0.9,0.8,0.9,5.8,0.5,-0.1
275,Theo Maledon,2408891,16.1,1.8,4.3,1.2,2.6,1.4,1.6,2.5,1.0,5.5,0.8,0.1
276,Sandro Mamukelashvili,502080,8.5,0.7,2.3,0.4,1.1,0.4,0.7,0.8,0.3,2.1,0.1,0.0
277,Terance Mann,1930681,20.8,3.1,5.8,2.4,3.8,1.0,1.3,1.8,1.0,7.9,2.0,0.5
278,Tre Mann,3046200,20.6,3.5,8.9,2.0,4.1,0.5,0.8,1.7,1.0,8.9,0.1,-0.3
279,Boban Marjanovic,3500000,4.2,1.1,1.5,1.1,1.4,0.8,0.9,0.2,0.2,2.9,0.3,0.1
280,Lauri Markkanen,16475454,34.1,8.2,15.6,5.2,8.5,4.5,5.1,1.9,1.9,23.9,5.0,1.9
281,Naji Marshall,1782621,23.2,3.1,7.2,2.0,4.0,1.8,2.2,2.3,1.1,9.0,1.7,0.3
282,Caleb Martin,6479000,31.4,4.0,8.6,2.5,4.9,1.0,1.3,1.9,1.1,10.4,1.9,0.2
283,Cody Martin,7000000,11.0,1.0,3.5,1.0,2.5,0.0,0.0,1.0,0.5,2.0,0.0,0.0
284,Kenyon Martin Jr,1782621,24.0,4.2,7.5,3.3,4.8,1.4,2.1,1.4,1.1,10.5,1.9,0.3
285,Tyrese Martin,1017781,3.8,0.5,1.5,0.5,1.0,0.2,0.2,0.0,0.1,1.4,0.0,-0.1
286,Garrison Mathews,2000000,13.1,1.2,3.5,0.1,0.2,1.0,1.1,0.5,0.3,4.6,0.8,0.1
287,Bennedict Mathurin,6586800,28.2,5.4,12.9,3.8,8.1,4.9,6.0,1.4,1.8,17.4,1.2,-0.3
288,Wesley Matthews,2905851,15.1,1.0,2.9,0.2,0.6,0.4,0.4,0.6,0.4,3.0,0.6,0.0
289,Tyrese Maxey,2726880,34.9,7.8,17.4,5.3,11.1,2.9,3.9,4.2,1.9,21.2,1.1,0.2
290,Miles McBride,1563518,14.2,1.4,3.9,0.7,1.4,0.5,0.7,1.3,0.5,3.9,0.2,-0.1
291,CJ McCollum,33333333,35.2,7.6,18.0,4.7,10.7,2.1,2.6,6.0,2.6,20.2,2.1,0.9
292,TJ McConnell,8100000,17.2,2.4,5.2,2.3,4.6,0.6,0.7,4.3,1.5,5.6,0.8,0.1
293,Jaden McDaniels,2161440,30.4,4.5,8.6,3.4,5.6,1.3,1.6,1.8,1.5,11.4,1.8,0.2
294,Jalen McDaniels,1930681,26.1,3.9,8.6,2.7,5.0,1.7,1.9,2.1,1.3,10.7,1.7,0.2
295,Doug McDermott,13750000,20.2,3.8,8.1,1.9,3.4,0.7,0.9,1.5,1.0,10.3,0.5,-0.1
296,JaVale McGee,5461219,8.3,1.8,3.0,1.8,2.8,0.6,1.0,0.2,0.9,4.3,0.2,-0.1
297,Bryce McGowens,508891,13.6,1.4,3.4,0.9,2.2,0.9,1.0,1.0,0.5,4.0,0.1,-0.1
298,Rodney McGruder,2298385,10.3,0.9,2.7,0.3,0.7,0.4,0.5,0.7,0.4,2.9,0.1,0.0
299,Jordan McLaughlin,2160000,15.9,1.6,3.7,1.1,1.8,0.5,0.5,3.6,0.8,4.1,0.6,0.2
300,De'Anthony Melton,8250000,30.4,4.5,10.4,2.0,4.2,0.6,0.9,3.1,1.5,12.2,2.4,1.1
301,Chimezie Metu,1910860,10.7,2.0,3.5,1.8,2.7,0.6,0.8,0.6,0.7,4.9,0.7,0.1
302,Khris Middleton,37984276,24.4,3.6,11.0,2.0,5.1,2.4,2.7,4.4,1.6,11.1,0.1,-0.1
303,Patty Mills,6479000,12.2,2.0,4.2,0.8,1.3,0.6,0.6,1.3,0.6,5.7,0.7,0.2
304,Shake Milton,1997718,24.0,4.1,8.0,3.2,5.7,1.5,1.8,3.3,1.5,10.6,1.7,0.2
305,Josh Minott,1017781,2.5,0.5,0.8,0.5,0.7,0.7,0.7,0.3,0.0,1.7,0.1,0.1
306,Davion Mitchell,4833600,19.5,2.5,5.5,1.8,3.1,0.3,0.5,2.4,1.0,6.1,0.5,-0.2
307,Donovan Mitchell,30913750,36.7,10.0,20.5,6.2,11.1,5.2,6.0,4.9,3.0,29.0,5.4,2.8
308,Evan Mobley,8478720,33.9,5.8,10.5,5.5,9.4,2.5,3.6,2.7,2.1,14.3,3.8,1.1
309,Isaiah Mobley,508891,3.3,0.5,1.0,0.4,0.8,0.0,0.0,0.0,0.0,1.1,0.1,0.0
310,Chima Moneke,1017781,4.0,0.5,1.0,0.5,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0
311,Malik Monk,9472219,23.0,4.9,11.2,3.1,5.6,2.4,2.7,3.9,2.0,14.1,1.3,0.3
312,Moses Moody,3740160,15.4,1.9,4.1,0.9,1.6,0.7,1.0,0.9,0.7,5.4,0.6,-0.2
313,Wendell Moore Jr,2306520,6.0,0.8,1.8,0.7,1.0,0.3,0.3,0.5,0.4,2.0,0.0,0.0
314,Ja Morant,12119440,32.3,9.6,20.8,7.9,15.5,6.3,8.4,8.0,3.6,27.1,3.5,2.1
315,Marcus Morris,16372093,29.9,4.9,11.1,2.8,5.6,1.4,1.8,1.8,1.0,13.4,2.1,0.5
316,Markieff Morris,2905851,11.4,1.4,3.2,0.4,1.2,0.3,0.3,1.0,0.6,4.2,0.5,0.1
317,Monte Morris,9125000,28.6,3.7,8.2,2.5,4.9,1.0,1.3,5.4,0.9,9.8,2.3,0.5
318,Trey Murphy III,3206520,28.5,4.3,8.9,1.9,3.3,1.9,2.1,1.3,0.7,12.7,3.3,1.0
319,Dejounte Murray,16571120,36.5,8.2,18.2,6.2,12.5,2.4,2.8,6.2,2.5,20.6,2.1,1.1
320,Jamal Murray,31650600,32.0,6.6,15.0,4.7,9.6,2.9,3.6,5.6,2.1,18.0,1.6,0.3
321,Keegan Murray,8008440,28.8,4.2,9.8,1.9,4.1,0.9,1.2,0.8,1.0,11.5,1.0,0.0
322,Mike Muscala,3500000,13.8,1.9,4.4,0.8,1.4,0.8,1.0,0.9,0.3,5.8,1.0,0.2
323,Svi Mykhailiuk,3846895,3.3,0.5,1.0,0.0,0.2,0.3,0.4,0.1,0.2,1.8,0.1,0.1
324,Larry Nance Jr,9672727,22.8,3.7,5.8,3.3,4.9,0.8,1.1,1.8,0.9,8.6,2.6,0.8
325,Andrew Nembhard,2244111,26.7,3.2,6.9,1.9,3.5,0.4,0.5,3.7,1.6,8.1,1.0,0.0
326,Aaron Nesmith,3804360,23.0,3.3,7.8,1.8,3.6,1.4,1.5,1.3,0.9,9.5,1.1,0.0
327,Raul Neto,2463490,10.0,1.2,2.2,0.9,1.4,0.6,0.6,1.2,0.4,3.1,0.8,0.2
328,Georges Niang,3465000,20.3,3.3,7.3,0.9,1.7,0.6,0.7,1.1,0.8,9.5,1.5,0.3
329,Daishen Nix,1563518,14.1,1.2,3.3,0.4,1.1,0.5,0.7,2.5,1.4,3.5,0.0,-0.2
330,Zeke Nnaji,2617800,10.7,1.6,2.7,1.5,2.1,0.6,0.7,0.2,0.5,3.9,0.5,-0.3
331,Nerlens Noel,9240000,8.5,0.5,1.8,0.5,1.8,0.5,0.8,0.4,0.5,1.5,0.0,0.0
332,Jaylen Nowell,1930681,20.5,4.6,10.6,3.4,6.6,1.1,1.4,2.2,1.0,11.5,0.7,-0.1
333,Frank Ntilikina,2036318,13.4,1.0,3.0,0.6,1.3,0.4,0.6,1.3,0.7,2.8,-0.2,-0.4
334,Kendrick Nunn,5250000,11.6,2.1,5.6,1.2,2.9,0.4,0.4,0.8,0.9,5.4,-0.6,-0.5
335,Jusuf Nurkic,15625000,28.3,5.3,9.9,4.5,8.1,2.8,4.2,2.9,2.5,14.3,2.5,0.6
336,Jordan Nwora,3000000,16.1,2.0,5.4,1.0,2.6,1.1,1.3,1.0,0.9,6.1,0.5,-0.1
337,Royce O'Neale,9200000,35.1,3.3,8.1,1.0,2.6,0.5,0.7,4.2,1.7,9.3,1.6,0.3
338,Chuma Okeke,3433320,21.8,1.8,4.8,0.8,1.5,0.9,1.2,1.4,0.5,5.4,0.6,0.1
339,Josh Okogie,1968175,11.6,1.5,3.6,1.1,2.1,1.1,1.5,1.1,0.7,4.4,0.9,0.2
340,Onyeka Okongwu,6395160,23.5,3.8,6.1,3.8,6.0,1.7,2.3,0.9,1.0,9.2,3.0,0.3
341,Isaac Okoro,7040880,18.9,1.8,4.1,1.3,2.2,1.0,1.2,0.8,0.5,5.1,1.4,0.1
342,KZ Okpala,1902133,7.8,0.5,1.1,0.3,0.6,0.2,0.2,0.4,0.2,1.5,0.3,0.0
343,Victor Oladipo,8750000,26.9,3.5,8.7,2.2,4.2,1.8,2.4,3.2,1.5,10.0,0.5,0.0
344,Kelly Olynyk,12804878,28.7,4.1,8.1,2.6,4.6,2.8,3.3,3.2,2.3,12.4,2.5,0.6
345,Eugene Omoruyi,508891,11.6,2.0,4.3,1.5,2.6,0.8,1.1,0.5,0.7,5.2,0.3,-0.1
346,Cedi Osman,7426088,23.6,3.6,7.9,2.2,3.6,1.1,1.7,1.6,0.9,9.9,1.8,0.2
347,Kelly Oubre Jr,12600000,32.6,7.5,17.8,5.2,10.4,2.9,4.0,1.2,1.3,20.2,1.1,0.1
348,Chris Paul,28400000,31.8,4.5,10.6,2.8,6.3,2.8,3.4,8.6,2.0,13.4,2.5,1.0
349,Cameron Payne,6000000,24.0,4.5,11.0,2.8,6.5,1.4,1.8,5.3,2.0,12.1,0.9,0.2
350,Gary Payton II,8300000,13.0,3.0,4.0,2.0,3.0,0.0,0.0,4.0,2.0,7.0,0.1,0.0
351,Theo Pinson,1968175,4.6,0.3,1.2,0.1,0.4,0.3,0.4,0.3,0.2,1.1,0.0,0.0
352,Scotty Pippen Jr,508891,7.7,0.3,2.3,0.0,1.7,1.3,2.0,0.3,0.7,2.3,0.0,0.0
353,Mason Plumlee,9080417,27.6,4.1,6.4,4.1,6.4,2.5,4.2,3.7,1.6,10.6,3.6,1.0
354,Jakob Poeltl,9398148,26.2,5.2,8.1,5.2,8.1,1.6,2.8,2.9,2.1,11.9,2.0,0.6
355,Aleksej Pokusevski,3261480,21.8,3.5,7.8,2.2,4.6,0.7,1.1,2.0,1.3,8.8,1.0,0.4
356,Jordan Poole,3901399,29.9,7.1,16.4,4.6,8.4,4.0,4.7,4.4,3.5,20.6,0.4,-0.4
357,Kevin Porter Jr,3217631,34.4,6.8,15.5,4.7,9.3,3.7,4.8,5.8,3.7,19.3,1.6,0.6
358,Michael Porter Jr,30913750,29.4,6.1,12.8,3.3,6.1,1.6,2.1,1.3,1.3,16.7,1.4,0.2
359,Otto Porter Jr,6000000,18.3,1.9,3.8,1.1,1.6,1.0,1.0,1.0,0.5,5.5,0.4,0.1
360,Bobby Portis,10843350,26.6,5.9,12.1,4.8,8.4,1.1,1.4,1.8,1.2,14.1,3.1,0.9
361,Kristaps Porzingis,33833400,32.9,7.4,15.5,5.6,10.1,5.5,6.8,2.5,2.2,22.2,3.8,1.5
362,Micah Potter,508891,4.7,0.7,0.7,0.7,0.7,0.0,0.0,0.7,0.0,1.3,0.1,0.0
363,Dwight Powell,11080125,17.5,2.2,3.1,2.2,3.0,1.5,2.2,0.6,0.8,5.9,2.1,0.0
364,Norman Powell,16758621,25.0,5.1,10.9,3.5,6.7,3.2,4.1,1.7,1.9,15.0,1.3,0.3
365,Jason Preston,1563518,8.8,1.2,3.2,0.8,1.6,0.0,0.4,1.6,0.8,2.8,-0.1,-0.1
366,Joshua Primo,4144320,23.3,2.3,6.5,1.5,3.5,1.8,2.3,4.5,2.8,7.0,-0.1,-0.1
367,Taurean Prince,7295000,19.6,2.9,5.7,1.8,2.8,1.0,1.2,1.1,1.2,8.1,0.4,-0.1
368,Payton Pritchard,2239200,10.1,1.7,4.1,0.9,1.8,0.3,0.5,1.0,0.7,4.6,0.1,-0.1
369,Trevelin Queen,838891,10.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,1.5,0.0,-0.1,0.0
370,Neemias Queta,508891,6.3,1.5,2.0,1.5,2.0,0.0,0.5,0.3,0.3,3.0,0.1,0.0
371,Immanuel Quickley,2316240,26.3,4.1,10.1,2.5,5.3,2.0,2.4,3.4,1.3,11.9,2.2,0.6
372,Julius Randle,23760000,35.1,8.1,17.5,5.5,9.8,5.4,7.2,3.8,2.6,24.2,4.7,2.2
373,Austin Reaves,1563518,28.9,3.4,7.1,2.2,3.6,2.6,2.9,2.2,1.4,10.8,2.0,0.1
374,Cam Reddish,5954454,21.9,3.1,6.8,2.2,4.0,1.5,1.7,1.0,0.8,8.4,0.7,0.0
375,Davon Reed,1902133,9.9,0.8,2.4,0.3,1.0,0.5,0.7,0.6,0.5,2.5,-0.1,-0.3
376,Paul Reed,1782621,9.5,1.2,2.3,1.2,2.2,0.3,0.4,0.4,0.6,2.7,0.8,0.0
377,Naz Reid,1930681,18.1,4.2,7.7,3.2,5.0,1.1,1.8,1.0,1.2,10.6,1.3,0.4
378,Nick Richards,1782621,18.0,3.3,5.3,3.3,5.3,2.1,2.9,0.6,0.8,8.6,2.3,0.2
379,Josh Richardson,12196094,22.9,3.8,9.0,2.2,4.4,1.4,1.6,3.0,1.6,10.6,0.4,-0.2
380,Austin Rivers,2905851,20.4,1.8,4.0,0.9,1.6,0.9,1.0,1.5,0.6,5.5,0.8,-0.1
381,Duncan Robinson,16902000,17.9,2.3,6.2,0.6,1.3,0.7,0.8,1.2,0.7,6.9,0.4,-0.4
382,Mitchell Robinson,17045454,25.9,3.3,4.5,3.3,4.5,1.0,1.9,1.0,0.5,7.5,3.7,1.1
383,Orlando Robinson,386055,14.3,2.2,4.0,2.2,3.6,0.9,1.2,1.0,0.6,5.3,0.6,0.0
384,Jeremiah Robinson-Earl,2000000,21.1,3.3,6.7,2.2,3.8,0.8,1.1,1.0,0.6,8.5,1.5,0.3
385,Isaiah Roby,1930681,11.2,1.6,3.6,1.1,2.0,0.4,0.9,1.1,0.6,4.0,0.1,-0.1
386,David Roddy,2588640,18.7,2.4,6.1,1.6,2.8,0.7,1.2,0.7,0.8,6.4,0.5,-0.3
387,Ryan Rollins,1017781,5.5,0.5,1.7,0.3,0.9,0.5,0.5,0.5,1.5,1.9,-0.3,-0.2
388,Derrick Rose,14520730,12.9,2.3,6.0,1.6,3.7,0.4,0.5,1.8,0.8,5.8,0.1,-0.1
389,Terrence Ross,11500000,23.0,3.2,7.6,1.8,3.6,0.4,0.6,1.3,1.0,8.3,0.2,-0.3
390,Terry Rozier,21486316,35.5,7.6,19.1,5.2,11.6,2.6,3.1,5.3,2.4,20.1,0.0,-0.1
391,D'Angelo Russell,31377750,32.6,6.0,13.2,3.8,6.7,2.5,3.0,6.5,2.7,16.8,2.1,0.7
392,Matt Ryan,806097,9.5,1.1,3.5,0.2,0.9,0.3,0.3,0.4,0.3,3.3,-0.1,-0.2
393,Domantas Sabonis,18500000,34.1,6.9,11.1,6.4,9.9,4.4,5.9,6.7,2.5,18.7,6.2,2.7
394,Dario Saric,9240000,11.0,1.3,3.7,0.8,2.0,0.6,0.7,1.0,0.6,3.8,0.2,-0.1
395,Jordan Schakel,96514,3.0,0.5,1.0,0.0,0.5,0.0,0.0,0.5,0.0,1.5,0.0,0.0
396,Admiral Schofield,508891,13.1,1.7,3.7,1.0,1.5,0.6,0.7,0.8,0.2,4.8,0.8,0.0
397,Dennis Schroder,2641682,28.4,3.9,8.8,2.8,5.6,2.7,3.0,3.8,1.7,11.7,0.9,-0.3
398,Dereon Seabron,508891,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,Alperen Sengun,3375360,26.2,5.5,10.0,5.4,9.3,3.1,3.9,2.6,2.0,14.3,2.8,0.8
400,Collin Sexton,16500000,24.1,4.8,9.8,3.8,7.2,3.6,4.2,2.9,1.7,14.1,1.8,0.1
401,Landry Shamet,9500000,20.4,3.0,7.8,1.0,2.4,1.3,1.4,2.0,0.9,9.4,1.0,0.2
402,Day'Ron Sharpe,2109480,8.9,1.5,2.9,1.3,2.6,0.7,1.0,0.7,0.8,3.9,0.5,-0.1
403,Shaedon Sharpe,6012960,19.7,3.2,6.8,2.4,4.3,0.6,0.9,0.4,0.6,7.9,0.7,-0.3
404,Pascal Siakam,35448672,37.2,9.1,19.0,7.7,15.0,6.4,8.3,6.6,2.4,25.9,3.7,1.9
405,Ben Simmons,35448672,26.9,3.6,6.0,3.6,6.0,0.7,1.6,5.8,2.2,7.9,2.0,0.6
406,Marko Simonovic,1563518,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,Anfernee Simons,22321429,35.7,8.0,18.0,4.2,8.0,2.7,3.0,4.0,2.2,22.4,2.5,0.6
408,Jericho Sims,1639842,12.6,1.7,2.2,1.7,2.2,0.3,0.3,0.4,0.4,3.7,1.7,0.3
409,Marcus Smart,17207142,32.9,4.0,9.5,2.3,4.3,1.3,1.7,7.4,2.2,11.1,2.3,0.4
410,Dennis Smith Jr,2133278,27.1,4.0,8.9,3.4,6.9,0.5,0.9,5.2,1.5,9.1,0.5,0.2
411,Dru Smith,122836,13.4,1.0,2.8,0.8,1.6,0.0,0.0,1.0,0.2,2.2,0.1,0.0
412,Ish Smith,4725000,9.1,1.3,3.2,1.1,2.8,0.1,0.1,1.9,0.9,2.7,-0.2,-0.2
413,Jabari Smith Jr,8882640,30.0,4.2,10.9,2.3,5.1,1.8,2.2,0.9,1.3,12.1,1.0,-0.4
414,Jalen Smith,4670160,20.3,3.8,8.3,2.8,4.9,1.6,2.0,1.0,1.2,10.2,1.3,0.1
415,Jeremy Sochan,5063520,25.2,3.6,7.8,3.2,5.9,1.0,1.6,2.4,1.6,8.6,0.1,-0.5
416,Jaden Springer,2125200,3.0,0.6,1.4,0.6,1.4,0.2,0.4,0.0,0.2,1.4,0.0,0.0
417,Lamar Stevens,1782621,22.1,2.5,5.9,1.9,3.8,0.7,1.1,0.7,0.7,6.3,0.6,-0.2
418,Isaiah Stewart,3433320,28.3,4.0,8.8,2.6,4.6,2.1,2.8,1.1,1.4,11.6,1.5,0.0
419,Max Strus,1815677,30.2,4.6,11.4,1.9,3.5,1.0,1.2,1.9,0.9,12.9,1.5,0.1
420,Jalen Suggs,6922320,28.9,4.6,11.1,3.2,6.2,1.6,2.5,5.4,3.4,12.4,0.0,-0.1
421,Edmond Sumner,1968175,14.4,2.3,5.1,1.8,3.4,1.6,1.8,1.4,0.9,6.8,0.9,0.0
422,Cole Swider,508891,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
423,Jae'Sean Tate,7065217,22.7,3.3,6.7,2.7,5.0,1.0,1.3,3.3,1.7,8.3,0.1,0.0
424,Jayson Tatum,30351780,36.7,10.1,21.3,6.9,12.1,7.4,8.6,4.0,2.8,30.8,5.1,2.4
425,Terry Taylor,1563518,7.7,0.7,1.9,0.6,1.3,0.2,0.3,0.3,0.2,1.8,0.0,-0.1
426,Garrett Temple,5155500,8.1,0.8,2.2,0.3,0.8,0.3,0.3,0.4,0.3,2.4,0.2,0.0
427,Dalen Terry,3191400,3.7,0.3,0.9,0.2,0.6,0.2,0.3,0.5,0.3,0.9,-0.1,-0.1
428,Cam Thomas,2138160,13.6,2.1,5.1,1.7,4.0,1.7,2.2,1.4,0.7,6.4,0.3,-0.2
429,Klay Thompson,40600080,32.2,7.5,18.0,3.5,7.6,1.7,1.9,2.5,1.7,20.6,0.9,0.2
430,JT Thor,1563518,10.3,0.8,2.5,0.5,1.1,0.4,0.6,0.5,0.5,2.4,-0.1,-0.3
431,Matisse Thybulle,4379526,11.7,1.0,2.2,0.5,0.9,0.1,0.2,0.4,0.2,2.5,0.7,0.1
432,Xavier Tillman Sr,1782621,10.0,1.9,3.0,1.7,2.6,0.3,0.8,0.5,0.4,4.1,0.7,0.2
433,Isaiah Todd,1575000,3.3,0.3,1.0,0.3,0.3,0.0,0.0,0.0,0.0,0.5,0.0,0.0
434,Obi Toppin,5348280,17.1,2.9,6.8,1.5,3.0,0.6,0.7,1.0,0.8,7.7,0.7,0.2
435,Juan Toscano-Anderson,2133278,11.4,0.9,1.9,0.7,1.2,0.3,0.4,0.6,0.7,2.2,0.1,-0.2
436,Karl-Anthony Towns,33833400,33.8,7.3,14.4,5.5,8.9,4.4,5.0,5.3,3.1,20.8,2.1,0.9
437,Gary Trent Jr,17505000,31.9,6.3,14.3,3.8,7.2,2.9,3.6,1.5,1.1,18.1,2.1,0.6
438,PJ Tucker,10490000,27.7,1.2,2.9,0.6,1.3,0.3,0.3,0.8,0.9,3.4,1.2,-0.4
439,Myles Turner,18000000,29.7,6.0,10.7,4.5,7.0,3.2,4.2,1.5,1.7,16.7,3.2,1.1
440,Jonas Valanciunas,14700000,24.6,5.3,10.3,4.6,8.4,2.3,2.8,1.8,1.9,13.5,2.8,0.3
441,Jarred Vanderbilt,4374000,24.8,3.5,6.1,3.1,5.0,1.0,1.5,2.8,1.4,8.4,2.9,0.9
442,Fred VanVleet,21250000,37.0,5.9,15.8,3.1,7.0,3.8,4.3,6.2,1.8,18.5,2.3,1.0
443,Devin Vassell,4437000,31.3,7.1,16.0,4.3,9.0,2.4,3.0,3.6,1.6,19.4,1.4,0.7
444,Gabe Vincent,1815677,23.8,3.0,7.7,1.7,3.2,0.8,1.0,2.6,1.2,8.2,0.4,-0.4
