,Player,Salary 2022/23,MP,FG,FGA,2P,2PA,FT,FTA,AST,TOV,PTS,WS,VORP
63,Troy Brown Jr,1968175,22.4,2.5,5.6,1.4,2.6,0.5,0.5,0.7,0.8,6.5,0.9,-0.1
64,Jalen Brunson,27733332,32.9,7.6,16.2,6.0,11.9,4.1,4.9,6.5,2.1,20.8,3.9,1.4
65,Thomas Bryant,1968175,21.1,4.8,7.1,4.3,6.0,1.8,2.6,1.0,0.9,12.0,2.2,0.5
66,Reggie Bullock,10012800,28.7,1.8,5.2,0.4,0.9,0.4,0.6,1.1,0.4,5.4,0.7,-0.4
67,Alec Burks,10012800,22.0,4.3,9.3,2.3,4.8,3.5,4.5,2.1,1.1,14.2,1.9,0.8
68,Jimmy Butler,37653300,34.8,7.3,14.1,6.6,11.9,6.1,7.5,5.7,1.7,21.5,4.4,2.1
69,John Butler,503041,3.8,0.3,0.8,0.3,0.3,0.0,0.0,0.3,0.0,0.5,0.0,0.0
70,Jamal Cain,508891,10.5,1.7,3.1,1.6,2.5,0.5,0.9,0.5,0.2,4.0,0.3,0.0
71,Kentavious Caldwell-Pope,14004703,31.6,4.1,8.6,2.0,4.2,1.2,1.4,2.2,1.2,11.4,1.9,0.1
72,Facundo Campazzo,464299,6.5,0.4,1.6,0.0,0.3,0.1,0.3,1.1,0.4,1.3,0.0,0.0
73,Vlatko Cancar,2234359,12.6,1.8,3.4,0.8,1.4,0.3,0.3,1.1,0.7,4.9,0.7,0.1
74,Clint Capela,18706896,27.5,5.4,8.6,5.4,8.6,1.1,1.9,0.7,1.0,12.0,3.1,0.7
75,Vernon Carey Jr,1782621,2.0,0.2,0.5,0.2,0.5,0.0,0.0,0.2,0.3,0.3,0.0,0.0
76,Jevon Carter,6025000,25.4,2.8,6.8,1.4,3.3,0.5,0.6,3.1,1.3,7.4,1.6,0.2
77,Wendell Carter Jr,14150000,30.8,5.6,10.8,4.5,7.3,3.6,4.6,3.0,2.4,15.8,1.5,0.4
78,Alex Caruso,9030000,24.1,1.8,4.0,0.9,1.9,0.9,1.2,3.4,1.3,5.2,1.5,0.6
79,Julian Champagnie,508891,3.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Justin Champagnie,825000,3.7,1.0,1.0,1.0,1.0,0.0,0.0,0.3,0.0,2.0,0.1,0.0
81,Kennedy Chandler,1200000,9.8,1.3,3.1,1.2,2.4,0.3,0.6,2.1,0.8,2.9,0.1,0.0
82,Max Christie,1017781,12.3,1.0,2.8,0.3,1.0,0.3,0.3,0.5,0.3,2.9,0.1,-0.1
83,Josh Christopher,2372160,6.6,1.1,2.6,1.0,1.9,0.3,0.4,0.6,0.5,2.6,-0.1,-0.2
84,Brandon Clarke,4343919,19.5,4.1,6.3,4.1,6.1,1.9,2.5,1.1,1.1,10.1,2.8,0.7
85,Jordan Clarkson,13340000,32.6,7.4,16.6,4.7,9.0,3.1,3.8,4.4,2.8,20.6,1.7,0.4
