,Player,Pos,Age,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,2022/23,2023/24,2024/25,2025/26,2026/27,2027/28
46,Leandro Bolmaro,SG,22,UTA,5.8,0.3,1.6,.188,0.0,0.3,.000,0.3,1.3,.231,.188,0.0,0.0,,0.3,0.1,0.4,0.6,0.3,0.1,0.7,0.7,0.6,-4.1,.188,.188,.000,5.7,1.9,3.8,12.5,2.5,1.4,30.4,16.7,-0.3,0.0,-0.3,-0.226,-11.5,-2.1,-13.5,-0.2,2471160,2588400,4392515,6391109,0,0
47,Devin Booker,SG,26,PHO,34.6,9.8,20.4,.477,2.3,6.2,.370,7.4,14.2,.524,.534,5.3,6.2,.850,0.8,3.8,4.6,5.6,0.9,0.4,2.4,2.7,27.1,22.3,.585,.305,.304,2.5,12.9,7.5,27.6,1.3,1.0,9.4,31.8,2.4,0.9,3.3,.158,4.7,-0.7,4.0,1.5,33833400,36016200,50050000,54054000,58058000,62062000
48,Brandon Boston Jr,SG,21,LAC,9.7,1.7,4.7,.366,0.6,1.4,.429,1.1,3.3,.340,.430,1.3,1.7,.769,0.3,0.9,1.2,0.9,0.3,0.0,0.3,0.6,5.4,13.7,.491,.296,.366,3.8,9.7,6.8,14.1,1.7,0.0,5.7,26.2,0.0,0.1,0.2,.060,-0.7,0.0,-0.7,0.0,1563518,1836096,0,0,0,0
49,Chris Boucher,PF,30,TOR,21.1,3.3,7.3,.457,0.7,2.7,.277,2.6,4.6,.562,.508,2.2,2.9,.760,2.0,3.6,5.6,0.4,0.7,0.7,0.6,2.2,9.6,16.6,.560,.367,.391,10.1,20.8,15.0,3.0,1.5,3.4,6.3,18.5,1.2,0.9,2.1,.135,-0.2,-1.0,-1.2,0.1,12690000,11750000,10810000,0,0,0
50,James Bouknight,SG,22,CHO,13.9,1.6,4.8,.333,0.6,2.5,.254,1.0,2.3,.421,.400,0.6,0.9,.682,0.2,1.8,2.0,1.1,0.5,0.2,0.7,1.2,4.4,6.1,.428,.525,.183,1.4,14.1,7.4,10.9,1.8,1.0,12.2,17.6,-0.5,0.3,-0.3,-0.035,-5.8,-0.4,-6.1,-0.4,4362240,4570080,6064496,8302295,0,0
51,Tony Bradley,C,25,CHI,2.8,0.4,0.8,.571,0.2,0.4,.500,0.2,0.3,.667,.714,0.2,0.2,1.000,0.1,1.0,1.1,0.1,0.1,0.0,0.1,0.1,1.3,20.9,.761,.571,.286,4.6,40.4,22.7,5.6,1.9,0.0,11.3,15.5,0.1,0.0,0.1,.209,4.5,-0.2,4.3,0.0,2036318,0,0,0,0,0
52,Malaki Branham,SF,19,SAS,19.2,2.7,6.4,.422,0.9,3.1,.296,1.8,3.3,.541,.494,0.7,0.9,.783,0.2,1.5,1.7,1.7,0.5,0.1,1.0,1.2,7.0,8.3,.517,.488,.139,1.3,8.8,5.0,11.8,1.1,0.5,12.9,16.9,-0.1,0.0,-0.1,-0.009,-3.2,-2.0,-5.2,-0.4,2925600,3071880,3217920,4962033,7110593,0
53,Christian Braun,SG,21,DEN,14.1,1.4,3.1,.455,0.3,1.0,.324,1.1,2.0,.521,.509,0.3,0.6,.524,0.6,1.4,1.9,0.5,0.3,0.2,0.4,1.1,3.4,7.1,.516,.336,.191,4.7,11.2,8.0,4.4,1.0,1.3,10.5,11.4,0.0,0.3,0.3,.032,-3.6,-0.9,-4.5,-0.3,2808600,2949120,3089640,4921797,7092309,0
54,Mikal Bridges,SF,26,PHO,36.3,5.7,12.5,.454,1.8,4.5,.392,3.9,7.9,.489,.525,2.3,2.6,.896,1.0,3.5,4.5,3.2,1.1,0.9,1.3,2.2,15.4,14.0,.567,.364,.207,3.0,11.1,6.9,12.4,1.5,2.2,8.5,17.6,1.9,1.4,3.3,.108,0.2,0.4,0.6,1.0,20100000,21700000,23300000,24900000,0,0
55,Oshae Brissett,SF,24,IND,15.9,1.8,4.3,.419,0.9,2.4,.365,0.9,1.9,.486,.519,1.4,2.1,.667,0.8,2.4,3.3,0.4,0.6,0.2,0.6,1.3,5.9,11.3,.561,.548,.484,5.6,16.6,11.2,3.7,1.9,0.9,9.6,15.2,0.4,0.6,0.9,.077,-1.6,-0.2,-1.9,0.0,1846738,0,0,0,0,0
