,Player,Pos,Age,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,2022/23,2023/24,2024/25,2025/26,2026/27,2027/28
89,John Collins,PF,25,ATL,31.2,5.2,10.3,.498,0.8,3.3,.229,4.4,7.1,.624,.535,2.2,2.8,.807,1.1,7.0,8.1,1.3,0.8,1.4,1.3,3.3,13.3,14.4,.575,.317,.266,3.8,24.3,13.9,5.6,1.2,3.9,9.8,17.3,0.7,1.4,2.1,.102,-1.8,0.9,-0.8,0.3,23500000,25340000,26580000,26580000,0,0
90,Zach Collins,PF,25,SAS,20.9,3.7,6.5,.561,0.6,1.6,.370,3.1,4.9,.622,.606,1.6,2.3,.712,1.9,3.8,5.7,2.5,0.3,0.8,2.0,3.4,9.5,15.6,.633,.243,.349,10.0,20.9,15.3,16.9,0.8,3.3,21.3,19.0,0.7,0.3,1.0,.079,-1.4,0.1,-1.3,0.1,7350000,7700000,0,0,0,0
91,Mike Conley,PG,35,UTA,29.3,3.3,8.8,.379,1.8,4.9,.357,1.6,3.9,.408,.479,1.5,2.0,.766,0.4,1.8,2.2,7.6,1.1,0.2,1.7,2.3,10.0,12.8,.514,.557,.227,1.4,6.9,4.1,34.0,1.7,0.5,14.8,16.3,1.4,0.5,1.8,.094,-0.1,-0.8,-0.9,0.3,22680000,24360000,0,0,0,0
92,Pat Connaughton,SG,30,MIL,21.9,2.6,7.3,.353,1.7,5.5,.315,0.8,1.7,.475,.473,0.5,0.7,.647,0.5,3.0,3.5,1.0,0.5,0.1,0.5,1.1,7.3,8.1,.484,.760,.102,2.5,13.8,8.3,6.0,1.1,0.5,6.4,15.5,-0.1,0.6,0.5,.050,-2.8,-0.2,-2.9,-0.1,5728393,9423869,9423869,9423869,0,0
93,Robert Covington,PF,32,LAC,16.0,1.9,5.0,.377,0.9,3.0,.286,1.0,1.9,.523,.465,1.0,1.2,.852,0.5,3.2,3.7,1.2,0.7,0.6,0.7,1.8,5.6,11.7,.512,.614,.237,3.3,21.5,12.5,10.5,2.0,3.4,11.3,16.8,0.0,0.6,0.6,.083,-2.5,2.2,-0.3,0.2,12307692,11692308,0,0,0,0
94,Torrey Craig,SF,32,PHO,25.1,3.2,6.8,.475,1.4,3.5,.394,1.8,3.3,.560,.576,0.6,0.7,.808,2.0,3.5,5.5,1.5,0.7,0.6,0.8,2.4,8.3,13.5,.590,.514,.101,8.8,16.1,12.3,8.1,1.4,2.3,9.7,13.4,1.4,1.0,2.5,.124,0.0,0.4,0.4,0.6,5121951,0,0,0,0,0
95,Jarrett Culver,SG,23,ATL,13.7,1.7,4.3,.395,0.1,1.2,.083,1.6,3.1,.516,.407,0.9,1.3,.692,1.0,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4,9.7,.452,.279,.302,7.6,22.3,14.8,5.7,2.1,1.2,12.6,17.1,-0.1,0.2,0.1,.021,-4.9,0.6,-4.2,-0.1,508891,1761752,0,0,0,0
96,Cade Cunningham,PG,21,DET,33.3,7.8,18.7,.415,1.4,5.1,.279,6.3,13.6,.466,.453,3.0,3.6,.837,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9,14.5,.492,.272,.192,3.2,17.7,10.2,30.7,1.2,1.5,13.8,29.8,-0.3,0.2,-0.1,-0.012,0.1,-1.0,-0.9,0.1,10552800,11055360,13940809,18123052,0,0
97,Seth Curry,SG,32,BRK,21.2,3.4,7.5,.452,1.8,4.1,.426,1.6,3.4,.484,.569,0.7,0.7,.950,0.2,1.9,2.1,2.1,0.6,0.2,0.9,1.8,9.2,12.5,.590,.548,.095,1.0,9.7,5.6,13.5,1.5,0.9,10.6,18.4,0.5,0.5,1.0,.084,-1.0,-0.6,-1.6,0.1,8496653,0,0,0,0,0
98,Stephen Curry,PG,34,GSW,34.4,10.1,20.2,.500,5.0,11.6,.434,5.0,8.5,.590,.625,4.8,5.2,.919,0.6,6.0,6.6,6.8,1.0,0.3,3.1,2.1,30.0,26.5,.668,.576,.258,2.0,18.8,10.5,33.9,1.4,0.9,12.2,31.2,3.2,0.9,4.1,.221,8.6,0.8,9.4,2.6,48070014,51915615,55761217,59606817,0,0
99,Dyson Daniels,PG,19,NOP,18.6,1.6,3.7,.435,0.5,1.5,.362,1.1,2.2,.485,.509,0.5,0.8,.600,0.7,2.6,3.3,2.2,0.8,0.2,0.8,1.8,4.3,9.7,.524,.409,.217,4.1,15.7,9.9,14.8,2.2,1.1,17.1,11.1,0.2,0.8,1.0,.085,-2.7,1.8,-0.9,0.2,5508600,5784120,6059520,7707709,10389992,0
100,Anthony Davis,C,29,LAL,33.4,10.2,17.2,.594,0.4,1.2,.290,9.8,15.9,.618,.605,6.6,8.0,.826,3.1,9.0,12.1,2.6,1.3,2.1,1.9,2.7,27.4,31.6,.662,.072,.469,10.5,27.7,19.4,13.5,1.9,5.3,8.3,28.5,3.4,1.5,4.9,.279,6.4,2.1,8.5,2.2,37980720,40600080,43219440,0,0,0
101,Johnny Davis,SG,20,WAS,5.0,0.4,1.3,.308,0.0,0.3,.000,0.4,1.0,.400,.308,0.3,0.3,1.000,0.1,0.6,0.7,0.2,0.0,0.1,0.1,1.2,1.1,1.0,.384,.231,.231,2.3,12.9,7.7,5.1,0.0,1.7,6.5,13.3,-0.1,0.0,0.0,-0.033,-10.5,-1.8,-12.3,-0.1,4810320,5050800,5291160,6746229,9188364,0
102,Terence Davis,SG,25,SAC,12.6,2.3,5.4,.426,1.3,3.6,.352,1.0,1.8,.574,.543,0.5,0.6,.824,0.4,1.9,2.3,1.2,0.7,0.3,0.8,1.9,6.3,13.8,.561,.667,.105,3.7,17.4,10.6,13.9,2.6,1.8,12.9,21.9,0.1,0.5,0.6,.071,-1.0,0.7,-0.3,0.2,4000000,0,0,0,0,0
103,JD Davison,PG,20,BOS,2.7,0.3,1.3,.250,0.0,0.7,.000,0.3,0.7,.500,.250,0.0,0.0,,0.0,0.3,0.3,0.3,0.3,0.0,0.3,0.0,0.7,0.2,.250,.500,.000,0.0,13.6,6.9,16.8,6.0,0.0,20.0,27.1,-0.1,0.0,0.0,-0.273,-13.4,0.0,-13.4,0.0,508891,1761752,0,0,0,0
104,Dewayne Dedmon,C,33,MIA,11.9,2.3,4.5,.512,0.4,1.3,.306,1.9,3.2,.596,.556,1.1,1.5,.714,1.0,2.7,3.7,0.5,0.2,0.5,0.7,2.1,6.0,16.4,.589,.288,.336,9.3,27.7,18.0,7.3,0.9,3.9,11.7,21.5,0.4,0.5,0.9,.128,-2.0,0.4,-1.6,0.0,7448674,7072674,2748674,0,0,0
105,Matthew Dellavedova,PG,32,SAC,6.3,0.4,1.4,.304,0.2,0.6,.300,0.3,0.8,.308,.370,0.1,0.2,.333,0.1,0.3,0.3,1.3,0.4,0.0,0.4,0.8,1.1,5.4,.370,.435,.130,1.1,4.5,2.8,24.2,2.8,0.0,19.8,12.8,-0.1,0.1,0.0,-0.011,-5.3,0.9,-4.4,-0.1,2628597,0,0,0,0,0
106,DeMar DeRozan,SF,33,CHI,36.4,9.4,18.6,.504,0.4,1.5,.271,9.0,17.1,.524,.515,7.3,8.2,.887,0.5,4.6,5.1,5.0,1.0,0.5,2.0,2.7,26.4,22.2,.595,.079,.440,1.6,14.1,7.9,21.9,1.3,1.2,8.1,29.0,3.8,1.2,5.0,.164,2.4,-0.3,2.2,1.5,27300000,28600000,0,0,0,0
107,Moussa Diabate,PF,21,LAC,11.3,1.6,3.0,.542,0.0,0.0,,1.6,3.0,.542,.542,0.9,1.1,.778,2.5,1.5,4.0,0.3,0.4,0.1,0.6,1.3,4.1,17.6,.590,.000,.375,24.6,14.4,19.5,3.3,1.6,1.0,15.2,15.9,0.2,0.1,0.3,.161,-0.8,-1.1,-1.9,0.0,508891,1761752,0,0,0,0
108,Mamadi Diakite,PF,26,CLE,6.8,0.8,1.8,.478,0.3,1.0,.308,0.5,0.8,.700,.565,0.0,0.0,,0.2,0.6,0.8,0.2,0.2,0.4,0.5,0.8,2.0,7.6,.565,.565,.000,4.1,10.6,7.4,3.2,1.1,5.3,20.7,14.7,-0.1,0.1,0.1,.034,-4.6,1.9,-2.7,0.0,508891,1761752,0,0,0,0
109,Hamidou Diallo,SG,24,DET,15.4,2.8,5.3,.533,0.1,0.5,.278,2.7,4.7,.560,.546,1.4,2.5,.570,1.1,2.1,3.2,0.9,0.7,0.3,0.9,2.0,7.1,14.4,.563,.098,.467,7.5,15.7,11.4,9.3,2.1,1.5,12.9,19.9,0.3,0.4,0.7,.059,-1.8,0.0,-1.8,0.0,5200000,0,0,0,0,0
110,Gorgui Dieng,C,33,SAS,11.6,1.5,3.7,.417,0.8,2.5,.303,0.8,1.2,.667,.521,0.2,0.3,.750,1.1,2.2,3.2,2.0,0.1,0.5,0.9,1.8,4.1,12.7,.533,.688,.083,10.1,21.5,15.6,22.8,0.3,3.3,19.4,17.0,0.1,0.1,0.2,.054,-1.3,0.3,-1.0,0.0,2905851,0,0,0,0,0
111,Ousmane Dieng,SF,19,OKC,15.7,1.8,4.2,.424,0.7,2.4,.294,1.1,1.8,.600,.508,0.1,0.3,.250,0.4,2.4,2.9,1.4,0.4,0.3,0.5,0.9,4.4,9.6,.502,.576,.068,2.8,16.7,9.6,11.8,1.1,1.6,10.3,12.8,0.0,0.2,0.2,.054,-2.2,0.3,-1.9,0.0,4569840,4798440,5027040,6670882,9132438,0
112,Spencer Dinwiddie,PG,29,DAL,33.2,5.6,12.3,.456,2.5,6.3,.400,3.1,6.0,.515,.558,2.5,3.0,.826,0.4,2.7,3.1,5.2,0.8,0.2,1.6,2.3,16.2,16.1,.595,.509,.246,1.4,9.5,5.4,24.6,1.2,0.6,10.4,20.7,2.6,0.9,3.5,.127,1.8,-1.1,0.7,0.9,20171427,21028570,0,0,0,0
113,Donte DiVincenzo,SG,26,GSW,24.0,2.5,6.4,.396,1.7,4.5,.378,0.8,1.9,.439,.529,0.7,0.8,.833,1.0,3.7,4.7,3.0,1.3,0.1,1.4,1.9,7.4,11.2,.550,.703,.125,4.5,16.7,10.7,16.0,2.5,0.3,17.2,14.2,0.3,0.9,1.2,.081,-2.1,1.7,-0.4,0.3,4500000,4725000,0,0,0,0
114,Luka Doncic,PG,23,DAL,36.9,11.4,22.8,.499,2.9,8.1,.355,8.5,14.7,.579,.562,8.4,11.3,.742,1.0,7.9,8.8,8.7,1.6,0.6,3.7,2.9,34.0,31.4,.613,.355,.496,3.1,25.2,14.0,47.8,2.2,1.5,11.8,38.6,5.3,1.9,7.2,.253,8.7,2.2,10.9,4.4,37096500,40064220,43031940,45999660,48967380,0
115,Tyler Dorsey,SG,26,DAL,2.7,1.3,1.7,.800,0.3,0.7,.500,1.0,1.0,1.000,.900,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,3.0,46.8,.900,.400,.000,14.5,14.8,14.7,0.0,0.0,0.0,0.0,28.3,0.1,0.0,0.1,.382,16.7,1.5,18.2,0.0,201802,0,0,0,0,0
116,Luguentz Dort,SG,23,OKC,30.1,4.9,11.9,.410,1.8,5.3,.346,3.1,6.6,.461,.487,2.6,3.5,.763,1.4,2.8,4.2,2.3,1.1,0.3,1.5,3.2,14.3,12.2,.530,.446,.290,4.7,10.1,7.4,10.5,1.7,0.8,9.9,20.7,0.6,1.0,1.6,.064,-1.8,-0.9,-2.6,-0.2,15277778,15277778,16500000,17722222,17722222,0
117,Ayo Dosunmu,PG,23,CHI,27.4,3.9,7.8,.503,0.9,2.8,.330,3.0,5.1,.599,.562,1.0,1.2,.787,0.7,2.5,3.2,2.6,0.8,0.3,1.3,2.6,9.8,11.2,.584,.356,.158,2.9,10.2,6.6,13.1,1.4,1.2,13.8,15.5,0.7,0.8,1.4,.067,-2.2,-0.1,-2.2,-0.1,1563518,0,0,0,0,0
118,Devon Dotson,PG,23,WAS,8.8,0.2,1.7,.100,0.2,0.7,.250,0.0,1.0,.000,.150,0.0,0.0,,1.0,0.7,1.7,1.3,0.8,0.0,0.5,1.5,0.5,4.9,.150,.400,.000,12.9,8.1,10.4,17.8,4.6,0.0,23.1,10.7,-0.1,0.1,0.0,-0.021,-6.9,1.8,-5.1,0.0,412377,1761752,0,0,0,0
119,Jeff Dowtin,PG,25,TOR,7.2,1.0,1.9,.522,0.1,0.3,.250,0.9,1.6,.579,.543,0.3,0.3,1.000,0.4,0.7,1.1,0.9,0.2,0.1,0.2,0.4,2.3,14.7,.576,.174,.130,6.1,11.3,8.5,18.4,1.1,1.2,7.6,13.1,0.2,0.1,0.2,.129,-0.2,0.5,0.3,0.1,508891,1761752,0,0,0,0
120,Goran Dragic,PG,36,CHI,16.6,2.9,6.7,.440,1.1,2.8,.392,1.9,3.9,.473,.520,0.6,1.0,.639,0.3,1.2,1.5,2.9,0.2,0.1,1.1,1.4,7.6,11.8,.533,.411,.145,2.2,7.8,5.1,25.0,0.5,0.6,13.7,21.7,0.2,0.3,0.4,.033,-0.7,-2.2,-2.9,-0.1,2905851,0,0,0,0,0
121,Andre Drummond,C,29,CHI,13.7,2.7,4.5,.604,0.0,0.1,.000,2.7,4.4,.613,.604,0.9,1.7,.566,2.2,4.7,6.9,0.7,0.7,0.3,1.1,1.9,6.4,21.0,.610,.014,.368,18.6,38.2,28.5,7.4,2.3,2.4,17.3,20.2,0.7,0.8,1.4,.159,-0.3,-0.2,-0.5,0.1,3200000,3360000,0,0,0,0
122,Chris Duarte,SF,25,IND,16.4,2.1,6.5,.326,0.9,3.3,.273,1.2,3.2,.381,.395,1.1,1.3,.840,0.3,1.9,2.1,1.2,0.2,0.3,0.9,1.5,6.2,5.2,.439,.512,.194,1.7,12.2,7.0,9.7,0.4,1.3,10.8,20.2,-0.5,0.2,-0.4,-0.055,-5.0,-2.1,-7.1,-0.4,3936960,4124400,5893768,8151081,0,0
123,David Duke Jr,SG,23,BRK,9.0,1.4,3.1,.442,0.0,0.4,.000,1.4,2.6,.514,.442,0.3,0.6,.500,0.4,0.6,1.1,0.9,0.4,0.1,0.9,1.6,3.0,4.5,.451,.140,.186,5.8,7.7,6.8,12.8,1.9,0.7,21.8,21.1,-0.3,0.1,-0.2,-0.072,-8.8,-1.4,-10.1,-0.3,508891,1761752,0,0,0,0
124,Kevin Durant,PF,34,BRK,36.0,10.5,18.8,.559,1.8,4.8,.376,8.7,14.0,.622,.607,6.8,7.3,.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7,26.9,.673,.257,.390,1.2,19.1,10.7,24.6,1.1,3.6,13.7,31.8,4.6,1.9,6.4,.220,6.0,1.0,7.0,3.2,44119845,47649433,51179020,54708608,0,0
125,Jalen Duren,C,19,DET,24.4,3.3,5.2,.634,0.0,0.0,.000,3.3,5.2,.637,.634,1.1,1.9,.573,3.4,5.1,8.5,1.0,0.6,0.7,1.2,2.6,7.7,15.7,.636,.005,.371,14.9,23.9,19.3,5.8,1.1,2.6,16.4,12.5,1.6,0.7,2.3,.114,-0.7,-0.9,-1.6,0.1,4124280,4330680,4536840,6483144,8966189,0
126,Tari Eason,PF,21,HOU,18.8,3.0,7.1,.421,0.8,2.1,.366,2.3,5.1,.443,.474,1.2,1.5,.797,2.0,3.4,5.4,0.9,1.1,0.5,1.0,2.2,7.9,15.2,.510,.288,.207,11.3,19.7,15.5,7.4,2.9,2.8,10.9,19.3,0.4,1.0,1.3,.085,-1.2,0.4,-0.8,0.2,3359160,3527160,3695160,5675766,8014181,0
127,Anthony Edwards,SG,21,MIN,36.5,8.5,18.6,.456,2.6,7.1,.361,5.9,11.5,.515,.525,4.2,5.6,.750,0.6,5.5,6.1,4.3,1.7,0.6,3.2,2.8,23.7,17.0,.563,.382,.300,2.0,16.1,9.3,18.3,2.2,1.4,13.2,28.2,0.5,1.8,2.3,.072,0.6,-0.2,0.4,0.9,10733400,13534817,17595263,0,0,0
128,Kessler Edwards,SF,22,BRK,5.7,0.5,1.7,.273,0.2,0.8,.182,0.3,0.8,.364,.318,0.1,0.2,.500,0.5,0.6,1.1,0.2,0.2,0.1,0.3,0.2,1.2,3.8,.328,.500,.091,9.9,11.7,10.9,3.3,2.0,1.2,14.9,16.3,-0.2,0.1,-0.1,-0.079,-5.7,-2.8,-8.5,-0.1,1637966,1927896,0,0,0,0
129,Keon Ellis,SG,23,SAC,3.0,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.7,0.0,-1.6,.000,1.000,.000,0.0,25.2,12.7,12.5,0.0,0.0,0.0,4.7,0.0,0.0,0.0,-0.037,-10.0,0.5,-9.6,0.0,508891,1761752,0,0,0,0
130,Joel Embiid,C,28,PHI,35.5,11.3,21.1,.532,1.1,3.1,.341,10.2,18.0,.565,.557,9.9,11.6,.853,1.8,8.0,9.8,4.6,1.2,1.7,3.9,3.4,33.5,30.6,.638,.149,.551,5.9,26.1,16.1,25.2,1.6,4.4,12.8,37.9,3.2,1.8,5.0,.242,6.2,2.5,8.7,2.7,33616770,46900000,50652000,54404000,58156000,0
131,Drew Eubanks,C,25,POR,18.3,2.4,3.3,.736,0.1,0.1,.667,2.4,3.2,.737,.744,0.9,1.3,.653,1.5,2.9,4.4,0.9,0.5,1.0,0.8,2.0,5.7,15.9,.744,.025,.405,9.2,17.7,13.5,7.4,1.4,4.9,17.9,11.1,1.3,0.9,2.2,.158,-0.8,1.8,1.0,0.5,1968175,0,0,0,0,0
132,Bruno Fernando,C,24,HOU,11.0,1.4,2.6,.556,0.0,0.0,.000,1.4,2.5,.566,.556,0.9,1.4,.621,1.4,2.1,3.5,0.9,0.2,0.7,0.5,2.1,3.7,15.9,.584,.019,.537,14.0,20.6,17.3,12.1,1.0,6.0,14.1,13.9,0.4,0.2,0.6,.133,-2.3,1.2,-1.1,0.1,2717391,2581522,2717391,2853260,0,0
133,Dorian Finney-Smith,PF,29,DAL,31.6,3.0,7.5,.401,1.9,5.4,.345,1.1,2.1,.547,.526,0.5,0.8,.640,1.4,2.6,4.0,1.2,1.0,0.5,0.9,1.9,8.4,8.9,.535,.724,.108,5.2,9.8,7.5,5.2,1.5,1.6,10.7,12.6,0.2,0.8,1.0,.050,-1.4,-0.3,-1.7,0.1,12402000,13394160,14386320,15378480,0,0
134,Malachi Flynn,PG,24,TOR,15.0,2.1,5.4,.384,1.2,3.0,.398,0.9,2.4,.368,.493,0.4,0.5,.800,0.4,1.3,1.6,1.4,0.4,0.1,0.6,1.5,5.8,9.6,.511,.550,.099,2.5,10.5,6.2,13.7,1.2,0.7,9.2,17.7,0.1,0.3,0.4,.045,-2.2,-1.2,-3.4,-0.1,2145720,3873024,5809537,0,0,0
135,Simone Fontecchio,SF,27,UTA,9.0,1.3,3.4,.375,0.9,2.4,.353,0.4,1.0,.429,.500,0.4,0.7,.643,0.5,0.7,1.1,0.4,0.1,0.2,0.5,0.9,3.9,9.0,.518,.708,.194,5.8,8.2,7.0,5.7,0.8,2.2,11.3,19.5,0.0,0.1,0.1,.014,-1.7,-2.5,-4.3,-0.1,3205128,3044872,0,0,0,0
136,Bryn Forbes,SG,29,MIN,10.6,1.1,3.3,.333,0.4,1.7,.250,0.7,1.6,.424,.399,0.6,0.6,1.000,0.2,0.4,0.6,0.6,0.3,0.0,0.4,0.8,3.2,5.5,.451,.522,.174,2.1,4.3,3.2,7.5,1.5,0.4,9.7,15.7,-0.2,0.1,-0.1,-0.016,-5.3,-1.2,-6.6,-0.3,2298385,0,0,0,0,0
137,Trent Forrest,PG,24,ATL,14.1,1.5,3.1,.478,0.0,0.1,.000,1.5,2.9,.500,.478,0.1,0.2,.667,0.3,1.4,1.7,1.9,0.4,0.1,0.5,0.9,3.1,9.0,.486,.043,.065,2.5,10.8,6.6,16.8,1.4,0.8,12.9,10.9,0.1,0.2,0.2,.050,-3.9,0.9,-3.0,-0.1,508891,1761752,0,0,0,0
138,Michael Foster Jr,PF,20,PHI,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.015,-7.4,-1.8,-9.2,0.0,106288,0,0,0,0,0
139,Evan Fournier,SG,30,NYK,18.6,2.3,6.6,.353,1.3,4.2,.316,1.0,2.4,.419,.454,0.9,1.1,.842,0.1,2.0,2.1,1.4,0.7,0.2,0.9,1.8,6.9,7.8,.487,.639,.160,0.6,11.6,6.1,10.8,1.8,0.9,11.8,18.3,-0.2,0.4,0.2,.028,-3.5,0.4,-3.2,-0.1,18000000,18857143,19000000,0,0,0
140,De'Aaron Fox,PG,25,SAC,33.2,8.9,17.7,.505,1.6,4.9,.333,7.3,12.8,.570,.551,4.7,5.9,.801,0.4,4.2,4.6,5.9,0.9,0.4,2.7,2.6,24.2,20.8,.597,.277,.333,1.3,14.3,7.9,28.9,1.3,1.0,11.6,29.4,2.3,0.9,3.2,.134,3.0,-0.7,2.2,1.2,30351780,32600060,34848340,37096620,0,0
141,Markelle Fultz,SG,24,ORL,27.3,4.8,10.5,.460,0.5,1.5,.321,4.4,9.1,.483,.483,1.3,2.0,.658,1.3,3.0,4.3,5.5,1.8,0.3,2.2,2.1,11.5,15.7,.503,.140,.190,5.5,12.3,9.0,31.2,3.2,1.1,16.2,21.6,0.1,0.6,0.7,.067,-1.4,1.0,-0.4,0.2,16500000,17000000,0,0,0,0
142,Wenyen Gabriel,PF,25,LAL,14.5,2.3,3.8,.615,0.2,0.6,.389,2.1,3.2,.657,.645,0.9,1.3,.700,1.5,2.4,3.9,0.5,0.4,0.5,0.8,2.1,5.8,15.4,.665,.154,.342,11.9,16.7,14.4,5.1,1.1,3.0,15.1,14.8,0.8,0.5,1.3,.137,-1.8,-0.3,-2.0,0.0,1878720,0,0,0,0,0
143,Daniel Gafford,C,24,WAS,16.6,3.2,4.3,.747,0.0,0.0,,3.2,4.3,.747,.747,1.3,2.1,.588,2.0,2.9,4.9,0.7,0.4,1.2,0.9,2.0,7.6,21.0,.733,.000,.500,13.4,18.7,16.1,5.8,1.0,6.0,14.8,15.9,1.8,0.9,2.7,.194,0.6,0.5,1.1,0.5,1930681,12402000,13394160,14386320,0,0
144,Darius Garland,PG,23,CLE,35.8,7.4,16.5,.449,2.4,6.1,.393,5.0,10.4,.482,.522,4.2,4.8,.858,0.4,2.2,2.7,7.8,1.3,0.2,3.1,2.0,21.4,18.6,.574,.371,.294,1.5,7.2,4.4,34.9,1.8,0.4,14.2,27.1,2.0,1.4,3.4,.142,3.1,-0.7,2.4,1.2,8920794,33500000,36180000,38860000,41540000,44220000
145,Usman Garuba,PF,20,HOU,14.5,1.3,2.5,.526,0.2,0.6,.429,1.1,1.9,.554,.574,0.5,0.9,.559,1.9,3.0,4.9,1.0,0.7,0.6,0.8,1.8,3.4,14.6,.582,.221,.358,14.4,22.6,18.4,9.6,2.5,3.8,20.9,10.5,0.6,0.7,1.3,.113,-1.3,1.3,0.1,0.3,2471160,2588400,4392515,6391109,0,0
146,Luka Garza,C,24,MIN,6.7,1.7,3.0,.576,0.1,0.7,.125,1.6,2.3,.720,.591,1.5,1.7,.895,0.6,1.1,1.7,0.4,0.1,0.1,0.4,1.3,5.1,23.8,.677,.242,.576,10.9,17.3,14.3,8.7,0.6,1.2,8.8,26.1,0.3,0.1,0.4,.237,1.5,-1.2,0.3,0.0,508891,1761752,0,0,0,0
147,Rudy Gay,SF,36,UTA,15.6,1.7,4.8,.357,0.6,2.5,.219,1.2,2.3,.507,.414,0.5,0.7,.737,0.7,2.4,3.1,0.8,0.4,0.4,0.6,1.3,4.5,7.3,.438,.521,.136,4.6,17.6,11.1,6.4,1.4,2.0,10.8,15.5,-0.4,0.4,0.0,-0.001,-4.5,-0.3,-4.7,-0.3,6184500,6479000,0,0,0,0
148,Paul George,SF,32,LAC,33.9,8.1,18.0,.451,3.1,8.0,.385,5.0,10.0,.503,.536,4.5,5.0,.887,0.6,5.3,6.0,5.1,1.5,0.4,3.5,2.6,23.7,20.0,.588,.443,.280,2.1,17.0,9.6,26.3,2.2,1.1,14.7,30.3,1.0,1.5,2.5,.118,2.7,0.8,3.5,1.4,42492492,45640084,48787676,0,0,0
149,Taj Gibson,PF,37,WAS,9.0,1.3,2.5,.534,0.1,0.6,.231,1.2,2.0,.622,.560,0.7,0.9,.750,0.5,1.0,1.6,0.5,0.4,0.3,0.5,1.8,3.5,12.6,.599,.224,.345,6.7,12.5,9.7,8.1,2.4,2.5,14.1,16.4,0.2,0.3,0.4,.103,-3.9,0.9,-3.0,0.0,2905851,0,0,0,0,0
150,Josh Giddey,SG,20,OKC,30.7,6.5,13.8,.471,1.1,3.1,.355,5.4,10.7,.505,.511,1.1,1.4,.780,1.8,6.1,7.8,5.4,0.7,0.4,3.0,2.1,15.3,15.3,.528,.227,.103,6.0,21.3,13.5,26.3,1.1,1.3,17.0,23.6,0.0,1.2,1.2,.054,0.3,-0.6,-0.4,0.4,6287400,6587040,8352367,11142057,0,0
151,Shai Gilgeous-Alexander,SG,24,OKC,35.7,10.3,20.6,.501,1.0,2.8,.343,9.3,17.7,.527,.525,9.4,10.3,.911,0.8,3.9,4.8,5.6,1.6,1.1,3.2,2.8,30.9,26.7,.617,.138,.500,2.4,12.0,7.1,26.6,2.1,2.7,11.3,33.0,4.1,1.5,5.6,.208,5.5,1.1,6.6,2.8,30913750,33386850,35859950,38333050,40806150,0
152,Anthony Gill,PF,30,WAS,9.5,1.0,1.8,.589,0.1,0.4,.143,1.0,1.3,.738,.607,0.4,0.5,.824,0.5,0.8,1.3,0.4,0.2,0.2,0.2,1.2,2.6,10.3,.646,.250,.304,5.6,9.5,7.6,6.1,0.8,1.4,7.3,9.8,0.5,0.2,0.7,.112,-2.6,-0.4,-3.0,-0.1,1836090,1997238,0,0,0,0
153,Rudy Gobert,C,30,MIN,31.6,5.4,8.0,.675,0.0,0.1,.000,5.4,7.9,.682,.675,3.2,4.8,.671,3.5,8.4,11.9,0.9,0.7,1.4,1.7,3.1,14.0,19.4,.693,.011,.596,13.0,28.3,20.9,4.0,1.1,4.0,14.7,16.0,2.5,1.7,4.2,.182,0.4,0.0,0.5,0.7,38172414,41000000,43827586,46655173,0,0
154,Jordan Goodwin,PG,24,WAS,19.1,2.7,5.7,.483,0.7,1.7,.396,2.1,4.0,.520,.543,0.8,1.1,.743,1.1,2.6,3.7,2.7,1.0,0.5,1.0,1.7,7.0,16.1,.567,.301,.199,6.4,14.8,10.7,19.8,2.6,2.4,13.6,16.2,0.8,0.8,1.6,.126,0.1,1.9,2.0,0.6,508891,1761752,0,0,0,0
155,Aaron Gordon,PF,27,DEN,30.1,6.4,11.0,.584,0.9,2.5,.376,5.5,8.5,.645,.627,3.0,4.7,.648,2.6,4.4,7.0,2.4,0.9,0.7,1.6,1.8,16.9,21.0,.644,.227,.424,10.3,16.4,13.4,11.4,1.5,2.2,10.6,21.1,2.7,1.0,3.6,.170,3.0,-0.7,2.3,1.1,19690909,21266182,22841455,22841455,0,0
156,Eric Gordon,SG,34,HOU,29.7,3.9,9.4,.420,1.9,5.2,.360,2.1,4.1,.496,.520,1.8,2.1,.833,0.3,1.7,2.0,2.4,0.5,0.4,1.6,0.8,11.5,9.8,.559,.558,.226,1.0,6.2,3.6,11.9,0.9,1.2,13.6,16.7,0.5,0.2,0.7,.031,-1.4,-1.6,-3.0,-0.3,19568360,20917902,0,0,0,0
