,Player,Salary 2022/23,Tm,Pos,MP,FG,FGA,2P,2PA,FT,FTA,TOV,PTS,WS,VORP
207,Haywood Highsmith,1752638,MIA,SF,17.9,1.7,4.0,1.0,2.0,0.2,0.5,0.8,4.4,0.9,-0.3
208,George Hill,4000000,TOT,PG,18.1,1.7,3.6,1.0,1.5,0.9,1.2,0.7,5.0,1.9,0.1
209,Malcolm Hill,508891,CHI,SF,1.8,0.4,0.8,0.2,0.2,0.0,0.0,0.0,1.0,0.0,0.0
210,Aaron Holiday,1968175,ATL,PG,13.4,1.5,3.5,0.9,2.1,0.4,0.5,0.6,3.9,0.9,0.0
211,Jrue Holiday,33665040,MIL,PG,32.6,7.3,15.3,5.0,9.1,2.3,2.6,2.9,19.3,6.7,2.8
212,Justin Holiday,5987975,TOT,SG,15.3,1.7,4.4,0.7,1.3,0.1,0.2,0.5,4.5,0.1,-0.3
213,Richaun Holmes,11215260,SAC,C,8.3,1.3,2.1,1.2,1.9,0.4,0.5,0.3,3.1,0.8,-0.1
214,Al Horford,26500000,BOS,C,30.5,3.6,7.6,1.3,2.4,0.2,0.3,0.6,9.8,6.3,2.5
215,Talen Horton-Tucker,10260000,UTA,SG,20.2,4.0,9.4,3.1,6.3,1.9,2.6,1.9,10.7,0.8,0.1
216,Danuel House Jr,4105000,PHI,SF,14.4,1.7,3.5,1.0,1.6,0.8,1.1,0.5,4.8,1.3,-0.2
217,Caleb Houstan,2000000,ORL,SF,15.9,1.3,3.6,0.4,0.9,0.3,0.4,0.4,3.8,0.7,-0.4
218,Trevor Hudgins,508891,HOU,PG,5.6,0.4,1.8,0.0,0.2,0.6,0.6,0.2,1.8,0.0,0.0
219,Kevin Huerter,14508929,SAC,SG,29.4,5.6,11.5,2.9,4.7,1.3,1.7,1.3,15.2,4.9,1.7
220,Jay Huff,116986,WAS,C,13.6,2.1,3.6,1.3,1.9,2.1,2.3,0.7,7.3,0.5,0.1
221,De'Andre Hunter,9835881,ATL,SF,31.7,5.7,12.3,4.2,8.0,2.6,3.1,1.2,15.4,2.5,-0.7
222,Bones Hyland,2201520,TOT,PG,19.4,4.1,10.2,2.0,4.6,1.5,1.8,1.5,11.8,1.4,0.3
223,Serge Ibaka,2905851,MIL,C,11.6,1.6,3.4,1.3,2.3,0.5,0.8,0.7,4.1,0.2,-0.1
224,Andre Iguodala,2905851,GSW,SF,14.1,0.9,1.9,0.8,0.8,0.3,0.4,1.1,2.1,0.1,0.0
225,Joe Ingles,6479000,MIL,SF,22.7,2.3,5.4,0.5,1.0,0.4,0.5,1.2,6.9,2.3,0.3
226,Brandon Ingram,31650600,NOP,SF,34.2,9.0,18.6,7.6,14.9,5.3,6.0,3.3,24.7,3.5,1.5
227,Kyrie Irving,38917057,TOT,PG,37.4,9.9,20.1,6.8,11.8,4.1,4.6,2.1,27.1,7.4,3.4
228,Jonathan Isaac,17400000,ORL,PF,11.3,2.0,4.8,1.5,3.5,0.5,0.8,0.4,5.0,0.3,0.2
229,Jaden Ivey,7252200,DET,SG,31.1,5.5,13.3,3.9,8.6,3.6,4.8,3.2,16.3,0.0,-0.7
230,Frank Jackson,113114,UTA,PG,5.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
231,Isaiah Jackson,2573760,IND,C,16.5,2.8,5.0,2.8,4.8,1.5,2.3,0.8,7.2,2.7,0.3
232,Jaren Jackson Jr,28946605,MEM,C,28.4,6.6,13.0,5.0,8.6,3.8,4.9,1.7,18.6,6.6,2.2
233,Justin Jackson,1836090,BOS,SF,4.7,0.3,1.2,0.1,0.3,0.0,0.1,0.1,0.9,0.1,0.0
234,Quenton Jackson,219630,WAS,PG,15.0,2.1,4.7,2.0,3.3,1.9,2.4,0.4,6.2,0.2,-0.1
235,Reggie Jackson,11457217,TOT,PG,24.4,3.9,9.4,2.5,5.2,1.0,1.1,1.7,10.2,0.6,-0.8
236,LeBron James,44474988,LAL,PF,35.5,11.1,22.2,8.9,15.3,4.6,5.9,3.2,28.9,5.6,4.0
237,Ty Jerome,4728948,GSW,SG,18.1,2.6,5.4,1.8,3.4,0.8,0.9,0.7,6.9,2.1,0.3
238,Isaiah Joe,1836090,OKC,SG,19.1,3.1,7.0,0.9,1.6,1.1,1.4,0.5,9.5,3.8,1.0
239,Alize Johnson,192293,SAS,PF,7.5,0.8,1.5,0.8,1.0,0.3,0.5,1.0,1.8,-0.1,-0.1
240,Cameron Johnson,5887899,TOT,PF,28.5,5.3,11.3,2.9,5.2,2.4,2.9,0.9,15.5,3.5,1.4
241,Jalen Johnson,2792640,ATL,SF,14.9,2.3,4.6,1.8,3.1,0.7,1.1,0.6,5.6,2.1,0.6
242,James Johnson,3841067,IND,PF,9.0,1.2,2.7,1.1,1.9,0.2,0.4,0.4,2.8,0.1,-0.1
243,Keldon Johnson,3873024,SAS,SF,32.7,8.0,17.7,5.9,11.2,3.9,5.2,2.1,22.0,1.3,0.1
244,Keon Johnson,2681040,POR,SG,10.4,1.7,4.5,1.0,2.4,0.7,1.0,1.1,4.7,-0.5,-0.4
245,Stanley Johnson,4022164,SAS,SF,15.6,2.2,4.1,1.6,2.7,0.9,1.3,1.1,5.8,0.7,0.1
246,Nikola Jokic,33047803,DEN,C,33.7,9.4,14.8,8.5,12.7,4.9,6.0,3.6,24.5,14.9,8.8
247,Carlik Jones,612162,CHI,PG,8.0,0.9,2.1,0.4,1.3,0.7,1.1,0.3,2.9,0.1,0.0
248,Damian Jones,2298385,TOT,C,11.6,1.3,2.1,1.1,1.7,0.5,0.7,0.6,3.5,1.2,0.0
249,Derrick Jones Jr,3200000,CHI,SF,14.0,1.8,3.6,1.4,2.3,1.0,1.3,0.4,5.0,2.4,0.4
250,Herbert Jones,1785000,NOP,SF,29.6,3.6,7.6,2.7,5.1,1.9,2.4,1.3,9.8,4.2,0.8
251,Kai Jones,2909040,CHO,C,12.0,1.5,2.6,1.4,2.2,0.4,0.6,0.7,3.4,0.7,-0.3
252,Tre Jones,1782621,SAS,PG,29.2,5.0,10.9,4.4,8.6,2.2,2.5,1.6,12.9,3.4,0.5
253,Tyus Jones,15000000,MEM,PG,24.3,3.9,8.9,2.4,4.8,1.0,1.3,0.9,10.3,5.7,1.7
254,DeAndre Jordan,10733758,DEN,C,15.0,2.3,2.9,2.2,2.9,0.6,1.2,1.2,5.1,1.4,0.0
255,Cory Joseph,5155500,DET,PG,19.8,2.4,5.7,1.3,2.8,0.9,1.2,0.9,6.9,1.8,0.2
256,Nikola Jovic,2239920,MIA,PF,13.6,1.9,4.6,1.3,2.3,1.2,1.3,0.7,5.5,0.2,-0.1
257,Johnny Juzang,508891,UTA,SF,12.9,1.9,5.8,1.1,2.3,0.1,0.2,0.2,4.8,-0.2,-0.3
258,Mfiondu Kabengele,508891,BOS,PF,9.0,0.5,1.8,0.5,1.0,0.5,0.5,0.3,1.5,0.1,-0.1
259,Frank Kaminsky,2463490,TOT,C,6.5,0.9,1.8,0.5,0.8,0.4,0.4,0.3,2.5,0.7,0.3
260,Trevor Keels,520589,NYK,SG,2.7,0.3,1.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
261,Luke Kennard,13745455,TOT,SG,22.3,3.2,6.5,0.9,1.9,0.6,0.7,0.8,9.3,3.4,0.8
262,Walker Kessler,2696400,UTA,C,23.0,4.0,5.6,4.0,5.6,1.1,2.1,0.8,9.2,7.1,2.1
263,Braxton Key,201802,DET,SF,3.0,0.3,0.3,0.3,0.3,0.7,0.7,0.0,1.3,0.0,0.0
264,Louis King,307089,PHI,SF,29.0,8.0,13.0,4.0,5.0,0.0,1.0,2.0,20.0,0.1,0.0
265,Corey Kispert,3552840,WAS,SF,28.3,3.9,7.9,1.7,2.7,1.0,1.2,0.7,11.1,3.8,0.3
266,Maxi Kleber,9000000,DAL,C,25.1,2.1,4.6,1.0,1.5,0.7,1.0,0.7,5.9,1.3,0.0
267,Nathan Knight,1836090,MIN,PF,7.7,1.2,2.1,1.0,1.6,1.0,1.5,0.6,3.7,0.7,-0.1
268,Kevin Knox,3000000,TOT,PF-SF,15.1,2.4,5.3,1.4,2.3,0.7,1.0,0.8,6.6,0.7,-0.4
269,Christian Koloko,1500000,TOR,C,13.8,1.2,2.6,1.2,2.4,0.6,1.0,0.3,3.1,1.7,-0.3
270,John Konchar,2300000,MEM,SG,20.8,1.9,4.4,1.1,2.0,0.4,0.5,0.5,5.1,3.5,0.9
271,Furkan Korkmaz,5000000,PHI,SG,9.5,1.3,3.0,0.8,1.8,0.7,1.0,0.6,3.8,0.1,-0.2
272,Luke Kornet,2133278,BOS,C,11.7,1.6,2.5,1.6,2.3,0.5,0.6,0.4,3.8,3.3,0.6
273,Vit Krejci,1563518,ATL,PG,5.7,0.5,1.3,0.3,0.6,0.0,0.1,0.2,1.2,0.1,-0.1
274,Jonathan Kuminga,5739840,GSW,PF,20.8,3.9,7.4,3.1,5.2,1.3,2.1,1.4,9.9,2.4,0.1
275,Kyle Kuzma,13000000,WAS,PF,35.0,8.0,17.8,5.5,10.3,2.7,3.7,3.0,21.2,0.9,0.2
276,Anthony Lamb,694878,GSW,SF,19.3,2.4,5.1,1.2,1.9,0.7,1.0,0.9,6.7,2.4,0.3
277,Jock Landale,1563518,PHO,C,14.2,2.6,4.9,2.3,3.7,1.1,1.5,0.9,6.6,2.7,0.2
278,Romeo Langford,5634257,SAS,SG,19.6,2.8,6.0,2.4,4.6,0.9,1.3,0.7,6.9,0.5,-0.5
279,Jake LaRavia,3047640,MEM,PF,11.8,1.1,2.7,0.4,0.7,0.2,0.3,0.5,3.0,0.5,-0.2
280,Zach LaVine,37096500,CHI,SG,35.9,8.7,18.0,6.1,11.0,4.7,5.6,2.5,24.8,7.1,2.7
281,AJ Lawson,371432,TOT,SG,7.2,1.5,2.9,0.8,1.3,0.1,0.5,0.2,3.7,0.1,-0.1
282,Damion Lee,2133278,PHO,SG,20.4,2.7,6.1,1.2,2.8,1.3,1.4,1.1,8.2,2.6,0.1
283,Saben Lee,2266640,TOT,PG,14.9,2.0,4.8,1.5,3.6,1.7,2.3,1.0,6.0,0.7,0.0
284,Alex Len,3918600,SAC,C,6.2,0.6,1.2,0.6,1.1,0.4,0.6,0.6,1.7,0.3,-0.1
285,Kawhi Leonard,42492492,LAC,SF,33.6,8.6,16.8,6.6,11.9,4.7,5.4,1.7,23.8,7.1,3.5
286,Meyers Leonard,713558,MIL,C,12.7,1.6,3.2,0.8,1.2,0.9,1.0,0.7,4.8,0.3,-0.1
287,Caris LeVert,18796296,CLE,SG,30.2,4.3,10.0,2.6,5.6,1.8,2.4,1.6,12.1,4.4,1.0
288,Kira Lewis Jr,4004280,NOP,PG,9.4,1.6,3.5,1.0,2.2,0.8,0.9,0.4,4.6,0.6,0.1
289,Damian Lillard,42492492,POR,PG,36.3,9.6,20.7,5.4,9.4,8.8,9.6,3.3,32.2,9.0,4.9
290,Nassir Little,4171548,POR,SF,18.1,2.5,5.6,1.4,2.7,0.6,0.9,0.7,6.6,0.7,-0.3
291,Isaiah Livers,1563518,DET,PF,23.1,2.3,5.5,0.9,1.6,0.6,0.8,0.6,6.7,1.0,-0.1
292,Kenneth Lofton Jr,1505966,MEM,PF,7.3,2.0,3.9,1.8,3.2,0.7,1.1,0.5,5.0,0.5,0.1
293,Kevon Looney,8000000,GSW,C,23.9,3.0,4.7,3.0,4.7,1.1,1.9,0.5,7.0,8.7,2.0
294,Brook Lopez,13906976,MIL,C,30.4,6.1,11.5,4.4,6.9,1.9,2.4,1.4,15.9,8.0,2.5
295,Robin Lopez,2905851,CLE,C,8.1,1.3,2.0,1.2,1.9,0.4,0.5,0.7,3.0,0.6,-0.1
296,Kevin Love,30556968,TOT,PF,20.0,2.7,6.8,1.1,2.1,1.3,1.5,1.1,8.2,2.6,0.8
297,Kyle Lowry,28333334,MIA,PG,31.2,3.6,8.8,1.6,3.2,2.1,2.5,1.9,11.2,3.4,0.9
298,Trey Lyles,2625000,SAC,PF,16.9,2.5,5.5,1.4,2.3,1.4,1.7,0.9,7.6,2.6,0.3
299,Theo Maledon,2408891,CHO,PG,19.4,2.3,5.8,1.7,3.6,1.4,1.7,1.3,6.7,0.8,-0.1
300,Sandro Mamukelashvili,758395,TOT,C,15.3,2.3,5.3,1.6,3.0,0.9,1.3,0.8,6.1,0.9,-0.1
301,Terance Mann,1930681,LAC,SG,23.1,3.4,6.5,2.4,4.0,1.1,1.5,1.0,8.8,4.3,0.8
302,Tre Mann,3046200,OKC,PG,17.7,2.9,7.5,1.7,3.6,0.6,0.8,0.9,7.7,0.5,-0.6
303,Boban Marjanovic,4101478,HOU,C,5.5,1.3,1.9,1.3,1.9,0.6,0.9,0.5,3.3,0.6,0.2
304,Lauri Markkanen,16475454,UTA,SF,34.4,8.7,17.3,5.6,9.6,5.3,6.0,1.9,25.6,8.2,3.3
305,Naji Marshall,1782621,NOP,SF,23.3,3.2,7.4,2.4,4.6,1.8,2.3,1.3,9.1,2.5,0.1
306,Caleb Martin,6479000,MIA,PF,29.3,3.6,7.7,2.4,4.4,1.3,1.6,1.1,9.6,3.7,0.4
307,Cody Martin,7000000,CHO,SF,19.1,2.0,5.1,1.6,3.1,0.6,1.0,0.3,5.0,0.1,-0.1
308,Kenyon Martin Jr,1782621,HOU,SF,28.0,5.0,8.8,4.2,6.1,1.8,2.7,1.1,12.7,4.9,0.7
309,Tyrese Martin,1017781,ATL,SG,4.1,0.6,1.4,0.5,1.0,0.1,0.1,0.1,1.3,0.0,-0.1
310,Garrison Mathews,2000000,TOT,SG,12.7,1.4,3.7,0.2,0.4,0.9,1.0,0.4,4.8,1.0,-0.1
311,Bennedict Mathurin,6586800,IND,SF,28.5,5.3,12.2,4.0,8.2,4.8,5.8,1.9,16.7,1.8,-1.0
312,Wesley Matthews,2905851,MIL,SG,15.8,1.1,3.1,0.4,0.7,0.5,0.5,0.3,3.4,1.2,-0.1
313,Tyrese Maxey,2726880,PHI,SG,33.6,7.3,15.2,4.7,9.1,3.0,3.6,1.3,20.3,5.4,1.3
314,Skylar Mays,116574,POR,SG,31.5,5.7,11.3,3.7,7.0,2.0,2.2,1.7,15.3,0.7,0.1
315,Miles McBride,1563518,NYK,PG,11.9,1.2,3.4,0.6,1.3,0.4,0.7,0.4,3.5,0.7,-0.1
316,Mac McClung,160856,PHI,SG,20.5,4.5,10.0,2.5,4.5,1.5,2.5,1.5,12.5,0.1,0.0
317,CJ McCollum,33333333,NOP,SG,35.3,7.8,17.9,5.0,10.7,2.4,3.2,2.4,20.9,4.3,1.9
318,TJ McConnell,8100000,IND,PG,20.3,3.8,6.9,3.4,6.2,0.8,0.9,1.9,8.7,3.1,1.0
319,Jaden McDaniels,2161440,MIN,SF,30.6,4.7,9.1,3.3,5.7,1.3,1.8,1.4,12.1,4.4,0.5
320,Jalen McDaniels,1930681,TOT,SF,23.9,3.5,7.7,2.6,4.8,1.5,1.7,1.2,9.4,2.7,-0.1
321,Doug McDermott,13750000,SAS,SF,20.5,3.7,8.2,1.8,3.5,0.8,1.1,0.9,10.2,1.0,-0.4
322,JaVale McGee,5461219,DAL,C,8.5,1.9,3.0,1.9,2.9,0.6,1.0,0.9,4.4,0.6,-0.1
323,Bryce McGowens,1461055,CHO,SG,17.1,1.7,4.4,1.2,2.7,1.3,1.7,0.9,5.3,0.1,-0.8
324,Rodney McGruder,2298385,DET,SG,16.4,1.9,4.8,0.7,1.7,0.6,0.7,0.3,5.7,0.7,0.1
325,Jordan McLaughlin,2160000,MIN,PG,15.8,1.4,3.4,0.9,1.6,0.3,0.4,0.8,3.7,1.3,0.2
326,De'Anthony Melton,8250000,PHI,PG,27.9,3.6,8.5,1.6,3.2,0.9,1.1,1.3,10.1,4.2,1.6
327,Sam Merrill,1105522,CLE,SG,11.8,1.8,4.4,0.8,0.8,0.4,0.4,0.0,5.0,0.2,0.0
328,Chimezie Metu,1910860,SAC,C,10.4,2.0,3.3,1.8,2.7,0.8,1.1,0.5,4.9,2.1,0.3
329,Khris Middleton,37984276,MIL,SF,24.3,5.4,12.3,3.8,7.4,2.8,3.1,2.2,15.1,1.9,0.6
330,Patty Mills,6479000,BRK,PG,14.2,2.2,5.2,0.9,1.9,0.6,0.8,0.8,6.2,0.4,-0.2
331,Shake Milton,1997718,PHI,SG,20.6,3.2,6.6,2.4,4.7,1.3,1.5,1.2,8.4,2.9,0.0
332,Justin Minaya,35096,POR,SF,22.3,1.8,5.8,1.0,2.8,0.0,0.3,1.0,4.3,-0.1,-0.2
333,Josh Minott,1017781,MIN,SF,6.4,1.2,2.4,1.1,2.0,0.5,0.5,0.2,3.1,0.3,0.0
334,Davion Mitchell,4833600,SAC,PG,18.1,2.3,5.0,1.5,2.5,0.3,0.4,0.8,5.6,1.5,-0.3
335,Donovan Mitchell,30913750,CLE,SG,35.8,10.0,20.6,6.4,11.3,4.7,5.4,2.6,28.3,8.9,5.0
336,Evan Mobley,8478720,CLE,PF,34.4,6.6,12.0,6.4,10.7,2.6,3.8,1.8,16.2,8.5,2.5
337,Isaiah Mobley,508891,CLE,PF,6.5,0.9,2.2,0.7,1.5,0.3,0.3,0.1,2.4,0.2,0.0
338,Chima Moneke,500000,SAC,SF,4.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0
339,Malik Monk,9472219,SAC,SG,22.3,4.6,10.3,2.8,5.2,2.4,2.7,1.9,13.5,3.2,1.0
340,Moses Moody,3740160,GSW,SG,13.0,1.7,3.6,0.9,1.5,0.6,0.8,0.5,4.8,1.3,-0.1
341,Xavier Moon,116986,LAC,SG,5.0,0.8,2.3,0.5,1.5,0.0,0.0,0.3,1.8,0.0,0.0
342,Wendell Moore Jr,2306520,MIN,SG,5.3,0.6,1.5,0.6,0.9,0.1,0.2,0.3,1.4,0.1,0.0
343,Ja Morant,12119440,MEM,PG,31.9,9.3,19.9,7.8,15.0,6.1,8.1,3.4,26.2,6.0,3.8
344,Marcus Morris,16372093,LAC,PF,28.1,4.2,9.9,2.5,5.2,1.0,1.3,0.9,11.2,2.0,0.0
345,Markieff Morris,2905851,TOT,PF,10.1,1.3,3.3,0.5,1.3,0.3,0.3,0.5,3.8,0.4,-0.1
346,Monte Morris,9125000,WAS,PG,27.3,4.0,8.3,2.7,5.0,1.0,1.2,1.0,10.3,4.2,1.1
347,Trey Murphy III,3206520,NOP,SF,31.0,4.9,10.1,2.3,3.8,2.2,2.4,0.8,14.5,7.6,2.3
348,Dejounte Murray,16571120,ATL,SG,36.4,8.3,17.8,6.5,12.6,2.1,2.6,2.2,20.5,4.7,2.1
349,Jamal Murray,31650600,DEN,PG,32.8,7.3,16.0,4.6,9.4,2.8,3.3,2.2,20.0,5.1,1.8
350,Keegan Murray,8008440,SAC,SF,29.8,4.4,9.8,1.9,3.5,0.8,1.0,0.8,12.2,4.3,0.8
351,Mike Muscala,3500000,TOT,C,15.0,2.1,4.6,0.8,1.3,0.6,0.8,0.4,6.1,2.5,0.4
352,Svi Mykhailiuk,3846895,TOT,SF,14.6,2.4,5.4,1.1,2.3,0.8,1.2,0.8,6.9,0.8,0.2
353,Larry Nance Jr,9672727,NOP,PF,21.2,2.9,4.7,2.6,4.0,0.8,1.2,0.6,6.8,4.9,1.4
354,Andrew Nembhard,2244111,IND,SG,27.6,3.8,8.6,2.6,5.1,0.7,0.8,1.7,9.5,1.2,-0.6
355,Aaron Nesmith,3804360,IND,SF,24.9,3.5,8.1,1.9,3.8,1.6,1.9,1.0,10.1,2.0,-0.4
356,Raul Neto,2463490,CLE,PG,10.5,1.2,2.3,0.9,1.4,0.6,0.7,0.5,3.3,1.5,0.2
357,Georges Niang,3465000,PHI,PF,19.4,2.8,6.4,0.9,1.5,0.5,0.6,0.7,8.2,2.5,0.2
358,Daishen Nix,1563518,HOU,PG,16.0,1.4,4.2,0.7,1.7,0.4,0.6,1.5,4.0,-1.2,-1.0
359,Zeke Nnaji,2617800,DEN,PF,13.7,2.1,3.7,1.8,2.5,0.8,1.2,0.6,5.2,1.6,-0.3
360,Nerlens Noel,9391069,TOT,C,11.5,0.8,2.1,0.7,2.0,0.5,0.7,0.8,2.1,0.0,-0.1
361,Jaylen Nowell,1930681,MIN,SG,19.3,4.3,9.6,3.3,6.0,1.2,1.5,1.0,10.8,1.2,-0.2
362,Frank Ntilikina,2036318,DAL,PG,12.9,1.0,2.8,0.7,1.4,0.5,0.7,0.6,2.9,-0.1,-0.7
363,Kendrick Nunn,5250000,TOT,SG-PG,13.8,2.7,6.4,1.6,3.2,0.5,0.6,0.9,7.1,0.2,-0.4
364,Jusuf Nurkic,15625000,POR,C,26.8,5.0,9.7,4.2,7.4,2.4,3.7,2.3,13.3,2.7,0.7
365,Jordan Nwora,3000000,TOT,SF,19.2,3.1,7.2,1.7,3.8,1.1,1.4,1.1,8.7,1.5,0.0
366,Royce O'Neale,9200000,BRK,SF,31.7,3.0,7.8,0.9,2.3,0.7,0.9,1.5,8.8,2.9,0.5
367,Chuma Okeke,3433320,ORL,SF,19.2,1.6,4.5,0.6,1.3,0.6,0.8,0.6,4.7,0.7,0.1
368,Josh Okogie,1968175,PHO,SG,18.8,2.3,5.8,1.3,3.0,1.9,2.7,0.9,7.3,2.8,0.6
369,Onyeka Okongwu,6395160,ATL,C,23.1,4.0,6.2,3.9,6.1,1.9,2.5,1.0,9.9,7.1,1.3
370,Isaac Okoro,7040880,CLE,SF,21.7,2.3,4.7,1.5,2.4,1.0,1.4,0.6,6.4,4.2,0.7
371,KZ Okpala,1902133,SAC,PF,7.1,0.5,1.1,0.3,0.5,0.2,0.2,0.2,1.3,0.3,-0.1
372,Victor Oladipo,8750000,MIA,SG,26.3,3.8,9.6,2.1,4.5,1.4,1.9,2.1,10.7,0.6,0.0
373,Kelly Olynyk,12804878,UTA,C,28.6,4.1,8.2,2.7,4.7,2.9,3.4,2.5,12.5,4.3,1.2
374,Eugene Omoruyi,1013119,TOT,SF,16.1,2.5,5.7,1.9,3.5,1.3,1.9,0.9,7.0,0.6,-0.4
375,Cedi Osman,7426088,CLE,SF,20.1,3.1,6.9,1.6,2.8,1.0,1.4,0.7,8.7,3.3,0.5
376,Kelly Oubre Jr,12600000,CHO,SF,32.3,7.4,17.1,5.1,10.0,3.3,4.3,1.3,20.3,1.7,0.3
377,Chris Paul,28400000,PHO,PG,32.0,5.0,11.3,3.3,6.9,2.3,2.7,1.9,13.9,6.2,2.5
378,Cameron Payne,6000000,PHO,PG,20.2,3.9,9.4,2.5,5.6,1.0,1.3,1.7,10.3,1.1,0.2
379,Gary Payton II,8300000,TOT,PG,16.7,1.9,3.1,1.3,2.0,0.3,0.3,0.7,4.6,1.0,0.2
380,Theo Pinson,1968175,DAL,SG,8.1,0.8,2.2,0.2,0.6,0.3,0.3,0.3,2.4,0.5,-0.1
381,Scotty Pippen Jr,508891,LAL,PG,5.3,0.7,2.0,0.5,1.5,0.8,1.5,0.3,2.3,0.0,0.0
382,Mason Plumlee,9080417,TOT,C,26.0,4.2,6.1,4.2,6.1,2.5,4.0,1.5,10.8,7.9,2.2
383,Jakob Poeltl,9398148,TOT,C,26.5,5.4,8.6,5.4,8.6,1.7,2.8,1.7,12.5,6.0,1.9
384,Aleksej Pokusevski,3261480,OKC,PF,20.6,3.2,7.3,2.1,4.3,0.6,1.0,1.3,8.1,1.0,0.3
385,Jordan Poole,3901399,GSW,PG,30.0,6.7,15.6,4.1,7.8,4.4,5.1,3.1,20.4,3.2,0.1
386,Kevin Porter Jr,3217631,HOU,PG,34.3,6.6,15.0,4.2,8.5,3.5,4.5,3.2,19.2,2.9,1.3
387,Michael Porter Jr,30913750,DEN,SF,29.0,6.4,13.2,3.4,5.9,1.5,1.9,1.1,17.4,4.3,1.0
388,Otto Porter Jr,6000000,TOR,SF,18.3,1.9,3.8,1.1,1.6,1.0,1.0,0.5,5.5,0.4,0.1
389,Bobby Portis,10843350,MIL,PF,26.0,5.7,11.5,4.3,7.8,1.4,1.8,1.2,14.1,5.3,1.2
390,Kristaps Porzingis,33833400,WAS,C,32.6,7.8,15.7,5.7,10.2,5.4,6.4,2.1,23.2,7.7,3.4
391,Micah Potter,508891,UTA,PF,7.4,1.4,2.1,0.9,1.1,0.0,0.0,0.3,3.4,0.2,0.1
392,Dwight Powell,11080125,DAL,C,19.2,2.6,3.5,2.6,3.5,1.5,2.2,0.9,6.7,5.1,0.3
393,Norman Powell,16758621,LAC,SG,26.1,5.7,11.8,3.8,7.1,3.8,4.6,1.7,17.0,3.5,0.9
394,Jason Preston,1563518,LAC,PG,8.9,1.3,2.9,0.9,1.6,0.0,0.1,0.7,2.9,0.1,0.0
395,Joshua Primo,4144320,SAS,SG,23.3,2.3,6.5,1.5,3.5,1.8,2.3,2.8,7.0,-0.1,-0.1
396,Taurean Prince,7295000,MIN,SF,22.1,3.3,7.0,1.9,3.4,1.2,1.4,1.3,9.1,1.3,-0.4
397,Payton Pritchard,2239200,BOS,PG,13.4,2.1,5.1,0.9,1.9,0.3,0.3,0.8,5.6,0.6,-0.2
398,Trevelin Queen,838891,IND,SG,10.0,1.0,4.1,0.7,2.0,0.7,0.7,1.0,3.0,-0.2,-0.1
399,Neemias Queta,508891,SAC,C,5.8,1.2,1.8,1.2,1.8,0.0,0.4,0.2,2.4,0.1,0.0
400,Immanuel Quickley,2316240,NYK,PG,28.9,5.2,11.6,3.1,6.0,2.5,3.1,1.2,14.9,6.7,2.1
401,Lester Quinones,129405,GSW,SG,4.5,0.5,1.3,0.0,0.3,1.0,1.5,1.3,2.5,0.0,0.0
402,Julius Randle,23760000,NYK,PF,35.5,8.5,18.6,5.7,10.3,5.2,6.9,2.8,25.1,8.1,3.9
403,Austin Reaves,1563518,LAL,SG,28.8,4.0,7.7,2.7,4.3,3.6,4.1,1.5,13.0,5.4,1.2
404,Cam Reddish,5954454,TOT,SF,24.8,3.5,7.8,2.4,4.2,1.6,1.9,1.2,9.7,0.9,-0.4
405,Davon Reed,1902133,TOT,SG,8.0,0.7,2.0,0.3,0.9,0.4,0.6,0.5,2.1,0.1,-0.3
406,Paul Reed,1782621,PHI,C,10.9,1.8,3.0,1.8,2.9,0.6,0.7,0.7,4.2,2.8,0.4
407,Naz Reid,1930681,MIN,C,18.4,4.6,8.5,3.5,5.3,1.3,1.9,1.4,11.5,3.0,1.0
408,Jared Rhoden,307089,DET,SG,14.1,1.2,3.1,0.9,1.7,0.4,0.4,0.2,3.2,0.1,-0.2
409,Nick Richards,1782621,CHO,C,18.7,3.0,4.8,3.0,4.8,2.1,2.8,0.9,8.2,4.2,0.2
410,Josh Richardson,12196094,TOT,SG,23.5,3.7,8.5,2.0,4.0,1.1,1.2,1.3,10.1,1.8,0.3
411,Austin Rivers,2905851,MIN,SG,19.5,1.8,4.0,0.9,1.7,0.6,0.8,0.4,4.9,1.3,-0.2
412,Duncan Robinson,16902000,MIA,SF,16.5,2.1,5.6,0.6,1.1,0.7,0.8,0.7,6.4,0.5,-0.5
413,Mitchell Robinson,17045454,NYK,C,27.0,3.2,4.7,3.2,4.7,1.0,2.1,0.7,7.4,6.5,1.7
414,Orlando Robinson,386055,MIA,C,13.7,1.5,2.9,1.5,2.7,0.7,1.0,0.5,3.7,1.1,0.0
415,Jeremiah Robinson-Earl,2000000,OKC,PF,18.9,2.6,5.8,1.7,3.2,0.8,1.0,0.4,6.8,1.9,0.1
416,Isaiah Roby,2330681,SAS,PF,11.3,1.6,3.7,1.2,2.3,0.5,1.0,0.7,4.1,-0.1,-0.3
417,David Roddy,2588640,MEM,PF,18.0,2.6,6.0,1.6,3.0,0.6,0.9,0.8,6.7,1.1,-0.6
418,Ryan Rollins,1017781,GSW,PG,5.2,0.6,1.7,0.3,0.9,0.5,0.5,1.3,1.9,-0.3,-0.2
