,Player,Salary 2022/23,Tm,Pos,MP,FG,FGA,2P,2PA,FT,FTA,TOV,PTS,WS,VORP
47,Devin Booker,33833400,PHO,SG,34.6,9.9,20.1,7.8,14.2,5.8,6.8,2.7,27.8,6.0,2.9
48,Brandon Boston Jr,1563518,LAC,SG,11.3,2.3,5.5,1.8,4.2,1.3,1.7,0.5,6.5,0.2,0.0
49,Chris Boucher,12690000,TOR,PF,20.0,3.4,7.0,2.6,4.5,1.7,2.2,0.5,9.4,5.0,0.7
50,James Bouknight,4362240,CHO,SG,15.1,2.0,5.7,1.1,2.5,0.6,0.9,0.9,5.6,-0.4,-0.6
51,Jamaree Bouyea,116986,TOT,PG,14.2,1.2,2.8,0.8,1.6,0.2,0.4,0.8,3.0,0.0,0.0
52,Tony Bradley,2036318,CHI,C,2.8,0.5,1.0,0.3,0.6,0.3,0.3,0.1,1.6,0.2,0.1
53,Malaki Branham,2925600,SAS,SF,23.5,4.1,9.3,2.9,5.4,0.9,1.1,1.2,10.2,-0.1,-1.2
54,Jarrell Brantley,105522,UTA,PF,9.8,2.0,3.5,1.0,1.3,0.5,0.5,0.5,5.5,0.1,0.1
55,Christian Braun,2808600,DEN,SG,15.5,1.9,3.8,1.4,2.5,0.5,0.8,0.5,4.7,1.9,-0.1
56,Mikal Bridges,20100000,TOT,SF,35.7,7.1,15.3,5.1,9.9,3.8,4.3,1.5,20.1,7.5,2.8
57,Oshae Brissett,1846738,IND,SF,16.7,1.9,4.9,1.2,2.5,1.6,2.2,0.5,6.1,1.1,-0.3
58,Malcolm Brogdon,22600000,BOS,PG,26.0,5.3,10.9,3.3,6.5,2.4,2.7,1.5,14.9,5.8,2.1
59,Dillon Brooks,11400000,MEM,SF,30.3,5.4,13.6,3.4,7.6,1.6,2.1,1.4,14.3,1.6,-1.1
60,Bruce Brown,6479000,DEN,SG,28.5,4.5,9.3,3.3,6.1,1.5,1.9,1.5,11.5,4.3,0.8
61,Greg Brown III,1563518,POR,PF,5.8,0.7,1.8,0.6,1.3,0.3,0.8,0.4,1.8,-0.1,-0.2
62,Jaylen Brown,28741071,BOS,SF,35.9,10.1,20.6,7.7,13.4,3.9,5.1,2.9,26.6,5.0,2.0
63,Kendall Brown,508891,IND,SG,6.7,0.7,1.2,0.7,1.0,0.2,0.3,0.3,1.5,0.1,0.0
