,Team,Year,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Op_eFG%,TOV%,DRB%,FT/FGA,Attend.,Attend./G,Playoff_W,Payroll
15,Phoenix Suns,2023,241.9,41.9,90.0,0.466,12.9,34.0,0.38,29.0,56.0,0.518,16.4,20.7,0.792,11.9,31.2,43.0,26.6,7.1,5.1,13.7,21.3,113.1,27.9,20.0,2.13,0.11,2.24,115.4,113.2,2.2,97.3,0.23,0.378,0.571,0.537,12.2,26.8,0.182,0.534,13.7,74.6,0.245,341420,17071,0,168769404
16,Philadelphia 76ers,2023,243.3,40.2,84.4,0.476,12.8,33.4,0.383,27.4,50.9,0.537,19.4,23.7,0.818,8.4,32.0,40.4,24.6,8.2,4.9,14.1,20.5,112.6,28.5,23.0,3.39,-0.29,3.11,114.2,110.8,3.4,97.2,0.281,0.396,0.594,0.552,12.9,20.2,0.23,0.531,14.1,75.7,0.215,444102,20186,0,152458779
17,Dallas Mavericks,2023,243.1,39.2,83.4,0.47,14.7,41.0,0.358,24.6,42.4,0.579,19.4,26.1,0.744,7.8,31.2,39.0,21.9,7.0,4.1,12.4,21.1,112.5,28.0,23.0,1.73,0.21,1.93,115.6,113.9,1.7,96.0,0.312,0.491,0.593,0.558,11.6,18.7,0.232,0.544,13.0,76.0,0.224,443639,20165,0,168733618
18,Portland Trail Blazers,2023,241.3,40.3,84.6,0.476,12.7,33.4,0.379,27.6,51.2,0.539,19.2,24.9,0.772,10.8,32.7,43.4,24.3,6.7,4.1,15.6,20.7,112.4,25.5,19.0,0.47,-0.3,0.18,114.4,113.9,0.5,97.7,0.294,0.395,0.588,0.551,14.0,25.7,0.227,0.538,12.5,76.0,0.212,280823,18722,0,150754415
19,Milwaukee Bucks,2023,242.6,40.8,89.7,0.455,13.1,38.2,0.343,27.7,51.6,0.538,17.7,23.9,0.74,12.3,37.0,49.3,24.4,6.6,5.4,15.7,18.7,112.4,29.4,25.0,1.21,-0.13,1.08,111.6,110.4,1.2,99.7,0.266,0.425,0.561,0.528,13.5,27.1,0.197,0.517,10.9,77.9,0.179,366732,17463,0,179886120
20,Washington Wizards,2023,241.3,41.8,86.8,0.481,10.7,31.3,0.343,31.1,55.5,0.56,17.8,23.1,0.77,9.3,34.7,44.0,24.9,6.9,5.5,14.1,19.3,112.1,26.4,17.0,-1.0,0.61,-0.39,112.6,113.6,-1.0,99.0,0.266,0.361,0.578,0.543,12.7,22.1,0.205,0.529,11.4,77.1,0.203,282098,16594,0,152008061
21,San Antonio Spurs,2023,240.6,42.8,90.4,0.473,10.9,31.7,0.345,31.9,58.8,0.542,15.6,21.2,0.735,11.9,31.0,42.8,26.9,7.0,4.2,16.0,20.0,112.0,24.2,13.0,-8.58,0.27,-8.3,110.7,119.2,-8.5,100.9,0.234,0.35,0.562,0.533,13.8,26.7,0.172,0.576,12.8,74.6,0.194,343509,15398,0,97886513
22,Charlotte Hornets,2023,243.8,41.8,93.6,0.446,11.0,33.7,0.325,30.8,59.9,0.515,17.5,23.4,0.745,12.6,33.2,45.8,25.2,8.0,5.1,13.8,21.3,112.0,25.8,11.0,-6.25,0.46,-5.8,109.1,115.2,-6.1,101.0,0.25,0.36,0.539,0.505,11.7,26.0,0.186,0.552,13.3,75.8,0.22,322205,16958,0,122952257
23,Detroit Pistons,2023,241.8,39.5,87.7,0.45,11.7,32.9,0.355,27.8,54.8,0.508,21.0,27.3,0.77,11.4,31.6,43.0,22.3,7.0,3.5,14.7,22.3,111.8,24.2,11.0,-7.19,0.62,-6.57,111.4,118.6,-7.2,99.5,0.311,0.375,0.56,0.517,12.8,25.1,0.24,0.56,12.1,74.9,0.227,334305,18573,0,124507677
24,Cleveland Cavaliers,2023,244.4,40.5,84.6,0.479,11.6,31.9,0.365,28.9,52.7,0.548,18.8,24.1,0.78,9.9,32.9,42.8,23.5,6.5,4.1,14.4,19.1,111.5,25.6,25.0,4.7,-0.07,4.63,114.7,109.8,4.9,95.5,0.285,0.377,0.586,0.548,13.1,24.1,0.222,0.533,13.6,78.1,0.203,408072,18549,0,150510719
25,Toronto Raptors,2023,241.9,40.3,90.3,0.447,10.5,32.4,0.324,29.8,57.8,0.516,19.8,25.0,0.794,12.4,30.1,42.5,22.7,9.4,5.1,12.2,20.6,111.0,25.9,16.0,-0.31,0.68,0.38,113.3,113.6,-0.3,97.2,0.277,0.359,0.548,0.505,10.7,26.9,0.22,0.562,15.5,75.7,0.227,415800,19800,0,147067692
26,Orlando Magic,2023,241.3,39.9,85.0,0.469,10.7,31.0,0.344,29.2,54.0,0.541,20.0,25.2,0.794,10.0,33.3,43.3,22.3,6.8,4.8,15.5,20.8,110.4,23.2,15.0,-3.45,-0.14,-3.59,111.1,114.6,-3.5,98.9,0.297,0.365,0.575,0.532,13.9,23.7,0.235,0.544,12.4,77.2,0.211,379373,17244,0,122642062
27,Houston Rockets,2023,241.3,39.0,88.1,0.443,11.6,35.2,0.331,27.4,52.9,0.518,19.7,25.6,0.77,13.3,33.7,46.9,21.7,7.5,4.5,16.9,20.7,109.4,22.4,10.0,-6.77,0.33,-6.44,109.9,116.7,-6.8,99.0,0.291,0.4,0.551,0.509,14.5,29.8,0.224,0.554,12.4,75.7,0.21,312496,16447,0,136736551
28,Los Angeles Clippers,2023,241.2,39.4,85.1,0.463,12.4,33.7,0.369,26.9,51.4,0.524,18.0,23.6,0.762,9.7,34.0,43.8,22.9,6.7,4.6,15.2,19.8,109.2,29.5,21.0,-1.02,-0.71,-1.74,110.7,111.7,-1.0,98.2,0.278,0.396,0.572,0.536,13.8,22.5,0.212,0.527,11.9,76.5,0.192,329054,17319,0,192300473
29,Miami Heat,2023,241.9,39.2,86.6,0.453,12.4,36.4,0.339,26.9,50.2,0.536,18.1,22.1,0.821,9.5,31.1,40.7,23.8,8.4,3.1,13.4,19.3,108.9,27.9,21.0,-0.23,-0.39,-0.61,111.2,111.4,-0.2,97.2,0.255,0.421,0.566,0.525,12.2,21.8,0.209,0.553,15.1,77.6,0.198,373701,19668,0,152191713
