Team,Year,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Op_eFG%,Op_TOV%,DRB%,FT/FGA4,Attend.,Attend./G,Payroll_Over_Avg,Playoff_W
Miami Heat,2022,242.1,39.6,84.8,0.467,13.6,35.8,0.379,26,49,0.531,17.3,21.4,0.808,9.8,33.9,43.7,25.5,7.4,3.2,14.6,20.5,110,28.2,53,4.45,-0.22,4.23,113.7,109.1,4.6,95.9,0.252,0.422,0.584,0.547,13.4,23.5,0.204,0.524,13.8,78,0.209,804761,19628,1.056244368,11
Milwaukee Bucks,2022,240.9,41.8,89.4,0.468,14.1,38.4,0.366,27.8,51,0.544,17.8,22.9,0.776,10.2,36.5,46.7,23.9,7.6,4,13.4,18.2,115.5,28.5,51,3.35,-0.14,3.22,115.1,111.8,3.3,99.9,0.257,0.43,0.58,0.546,11.9,23,0.199,0.536,11.6,78.6,0.165,715581,17453,1.243574836,7
Minnesota Timberwolves,2022,241.2,41.6,91,0.457,14.8,41.3,0.358,26.8,49.7,0.54,18,23.1,0.778,11.2,32.9,44.2,25.7,8.8,5.6,14.3,21.8,115.9,24.2,46,2.63,-0.1,2.53,114.3,111.7,2.6,100.9,0.254,0.454,0.573,0.539,12.4,24.4,0.198,0.535,14.2,74.9,0.227,657148,16028,1.036017732,2
New Orleans Pelicans,2022,240.9,40.2,88,0.457,10.6,32.1,0.332,29.5,55.9,0.528,18.3,23.2,0.789,12,33.2,45.2,25,8.3,4,14.1,19.7,109.3,25.6,36,-0.99,0.15,-0.84,112,113,-1,97.2,0.264,0.365,0.557,0.517,12.5,26.9,0.208,0.547,13,78.2,0.196,635941,15511,1.032402307,2
New York Knicks,2022,241.2,37.7,86.2,0.437,13.2,36.9,0.357,24.5,49.3,0.497,18,24.1,0.744,11.5,34.6,46.1,21.9,7,4.9,13.3,20.4,106.5,26,37,-0.12,0.11,-0.01,110.4,110.5,-0.1,95.9,0.28,0.428,0.55,0.513,12,25.1,0.208,0.521,11.7,78.8,0.198,763484,18622,1.003129036,0
Oklahoma City Thunder,2022,241.5,38.3,89.1,0.43,12.1,37.4,0.323,26.2,51.8,0.507,15,19.9,0.756,10.4,35.2,45.6,22.2,7.6,4.6,14,18.3,103.7,22.4,24,-8.1,0.2,-7.9,104.6,112.8,-8.2,98.5,0.223,0.419,0.53,0.497,12.5,21.8,0.169,0.533,11.8,76.1,0.169,595112,14515,0.666854549,0
Orlando Magic,2022,241.2,38.3,88.3,0.434,12.2,36.9,0.331,26.1,51.4,0.507,15.5,19.7,0.787,9.1,35.2,44.3,23.7,6.8,4.5,14.5,19.7,104.2,23.3,22,-8,0.33,-7.67,104.5,112.5,-8,99.2,0.223,0.417,0.538,0.503,13,19.8,0.175,0.532,11.7,77.2,0.196,622881,15192,0.85596612,0
Philadelphia 76ers,2022,241.5,39.4,84.5,0.466,11.6,31.8,0.364,27.8,52.7,0.527,19.6,23.8,0.821,8.5,33.8,42.3,23.7,7.7,5.3,12.5,19.4,109.9,26.8,51,2.61,-0.04,2.57,113.5,110.8,2.7,96.2,0.282,0.376,0.578,0.534,11.6,20.1,0.232,0.524,12.1,76.8,0.192,846867,20655,1.062954387,6
Phoenix Suns,2022,240.6,43.7,90.1,0.485,11.6,31.9,0.364,32.1,58.2,0.551,15.9,19.9,0.797,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8,27.5,64,7.5,-0.56,6.94,114.8,107.3,7.5,99.8,0.221,0.354,0.581,0.549,11.6,22.3,0.176,0.51,13,77.1,0.195,663171,16175,1.176384782,7
Portland Trail Blazers,2022,240.6,38.5,87.1,0.442,12.7,36.8,0.346,25.8,50.3,0.513,16.4,21.6,0.76,10.4,32.5,42.9,22.9,8,4.5,14.5,21.1,106.2,25.6,27,-8.88,0.33,-8.55,107.8,116.9,-9.1,98.3,0.248,0.422,0.55,0.515,13,22.9,0.188,0.559,12.7,76.9,0.222,705608,17210,1.026018666,0
