Year,Revenue
2002,266.00
2003,272.00
2004,293.00
2005,319.00
2006,337.00
2007,357.00
2008,377.00
2009,379.00
2010,381.00
2011,396.00
2012,368.00
2013,456.00
2014,479.00
2015,518.00
2016,587.00
2017,737.00
2018,801.00
2019,876.00
2020,792.00
2021,641.00
2022, 1000.00
