year,China,Italy,Japan,Spain,United_States
2013,24318.01953,30890.7793,42957.72656,33770.98047,81313.85938
2014,24892.54883,29172.83789,41918.64844,33253.95703,81576.35938
2015,25079.48438,29893.59766,41383.89063,33745.39453,80239.25
2016,25371.35352,29953.07422,40924.33984,34094.64453,79634.29688
2017,26116.52148,30297.49609,41507.67969,34473.73438,79422.46875
